id,level,need,cumStone,unlockGem,cumGem
threeGems,161,33,2673,0,11880
threeGems,162,33,2706,0,11880
threeGems,163,33,2739,0,11880
threeGems,164,33,2772,0,11880
threeGems,165,34,2805,530,12410
threeGems,166,34,2839,0,12410
threeGems,167,34,2873,0,12410
threeGems,168,34,2907,0,12410
threeGems,169,34,2941,0,12410
threeGems,170,35,2975,540,12950
threeGems,171,35,3010,0,12950
threeGems,172,35,3045,0,12950
threeGems,173,35,3080,0,12950
threeGems,174,35,3115,0,12950
threeGems,175,36,3150,550,13500
threeGems,176,36,3186,0,13500
threeGems,177,36,3222,0,13500
threeGems,178,36,3258,0,13500
threeGems,179,36,3294,0,13500
threeGems,180,37,3330,560,14060
threeGems,181,37,3367,0,14060
threeGems,182,37,3404,0,14060
threeGems,183,37,3441,0,14060
threeGems,184,37,3478,0,14060
threeGems,185,38,3515,570,14630
threeGems,186,38,3553,0,14630
threeGems,187,38,3591,0,14630
threeGems,188,38,3629,0,14630
threeGems,189,38,3667,0,14630
threeGems,190,39,3705,580,15210
threeGems,191,39,3744,0,15210
threeGems,192,39,3783,0,15210
threeGems,193,39,3822,0,15210
threeGems,194,39,3861,0,15210
threeGems,195,40,3900,590,15800
threeGems,196,40,3940,0,15800
threeGems,197,40,3980,0,15800
threeGems,198,40,4020,0,15800
threeGems,199,40,4060,0,15800
threeGems,200,41,4100,600,16400
threeGems,201,41,4141,0,16400
threeGems,202,41,4182,0,16400
threeGems,203,41,4223,0,16400
threeGems,204,41,4264,0,16400
threeGems,205,42,4305,610,17010
threeGems,206,42,4347,0,17010
threeGems,207,42,4389,0,17010
threeGems,208,42,4431,0,17010
threeGems,209,42,4473,0,17010
threeGems,210,43,4515,620,17630
threeGems,211,43,4558,0,17630
threeGems,212,43,4601,0,17630
threeGems,213,43,4644,0,17630
threeGems,214,43,4687,0,17630
threeGems,215,44,4730,630,18260
threeGems,216,44,4774,0,18260
threeGems,217,44,4818,0,18260
threeGems,218,44,4862,0,18260
threeGems,219,44,4906,0,18260
threeGems,220,45,4950,640,18900
threeGems,221,45,4995,0,18900
threeGems,222,45,5040,0,18900
threeGems,223,45,5085,0,18900
threeGems,224,45,5130,0,18900
threeGems,225,46,5175,650,19550
threeGems,226,46,5221,0,19550
threeGems,227,46,5267,0,19550
threeGems,228,46,5313,0,19550
threeGems,229,46,5359,0,19550
threeGems,230,47,5405,660,20210
threeGems,231,47,5452,0,20210
threeGems,232,47,5499,0,20210
threeGems,233,47,5546,0,20210
threeGems,234,47,5593,0,20210
threeGems,235,48,5640,670,20880
threeGems,236,48,5688,0,20880
threeGems,237,48,5736,0,20880
threeGems,238,48,5784,0,20880
threeGems,239,48,5832,0,20880
threeGems,240,49,5880,680,21560
threeGems,241,49,5929,0,21560
threeGems,242,49,5978,0,21560
threeGems,243,49,6027,0,21560
threeGems,244,49,6076,0,21560
threeGems,245,50,6125,690,22250
threeGems,246,50,6175,0,22250
threeGems,247,50,6225,0,22250
threeGems,248,50,6275,0,22250
threeGems,249,50,6325,0,22250
threeGems,250,51,6375,700,22950
threeGems,251,51,6426,0,22950
threeGems,252,51,6477,0,22950
threeGems,253,51,6528,0,22950
threeGems,254,51,6579,0,22950
threeGems,255,52,6630,710,23660
threeGems,256,52,6682,0,23660
threeGems,257,52,6734,0,23660
threeGems,258,52,6786,0,23660
threeGems,259,52,6838,0,23660
threeGems,260,53,6890,720,24380
threeGems,261,53,6943,0,24380
threeGems,262,53,6996,0,24380
threeGems,263,53,7049,0,24380
threeGems,264,53,7102,0,24380
threeGems,265,54,7155,730,25110
threeGems,266,54,7209,0,25110
threeGems,267,54,7263,0,25110
threeGems,268,54,7317,0,25110
threeGems,269,54,7371,0,25110
threeGems,270,55,7425,740,25850
threeGems,271,55,7480,0,25850
threeGems,272,55,7535,0,25850
threeGems,273,55,7590,0,25850
threeGems,274,55,7645,0,25850
threeGems,275,56,7700,750,26600
threeGems,276,56,7756,0,26600
threeGems,277,56,7812,0,26600
threeGems,278,56,7868,0,26600
threeGems,279,56,7924,0,26600
threeGems,280,57,7980,760,27360
threeGems,281,57,8037,0,27360
threeGems,282,57,8094,0,27360
threeGems,283,57,8151,0,27360
threeGems,284,57,8208,0,27360
threeGems,285,58,8265,770,28130
threeGems,286,58,8323,0,28130
threeGems,287,58,8381,0,28130
threeGems,288,58,8439,0,28130
threeGems,289,58,8497,0,28130
threeGems,290,59,8555,780,28910
threeGems,291,59,8614,0,28910
threeGems,292,59,8673,0,28910
threeGems,293,59,8732,0,28910
threeGems,294,59,8791,0,28910
threeGems,295,60,8850,790,29700
threeGems,296,60,8910,0,29700
threeGems,297,60,8970,0,29700
threeGems,298,60,9030,0,29700
threeGems,299,60,9090,0,29700
threeGems,300,0,9150,0,29700
legendHorn,0,2,0,200,200
legendHorn,1,3,2,0,200
legendHorn,2,5,5,0,200
legendHorn,3,7,10,0,200
legendHorn,4,11,17,0,200
legendHorn,5,13,28,330,530
legendHorn,6,17,41,0,530
legendHorn,7,19,58,0,530
legendHorn,8,23,77,0,530
legendHorn,9,29,100,0,530
legendHorn,10,31,129,460,990
legendHorn,11,37,160,0,990
legendHorn,12,41,197,0,990
legendHorn,13,43,238,0,990
legendHorn,14,47,281,0,990
legendHorn,15,53,328,590,1580
legendHorn,16,59,381,0,1580
legendHorn,17,61,440,0,1580
legendHorn,18,67,501,0,1580
legendHorn,19,71,568,0,1580
legendHorn,20,73,639,720,2300
legendHorn,21,79,712,0,2300
legendHorn,22,83,791,0,2300
legendHorn,23,89,874,0,2300
legendHorn,24,97,963,0,2300
legendHorn,25,101,1060,850,3150
legendHorn,26,103,1161,0,3150
legendHorn,27,107,1264,0,3150
legendHorn,28,109,1371,0,3150
legendHorn,29,113,1480,0,3150
legendHorn,30,127,1593,980,4130
legendHorn,31,131,1720,0,4130
legendHorn,32,137,1851,0,4130
legendHorn,33,139,1988,0,4130
legendHorn,34,149,2127,0,4130
legendHorn,35,151,2276,1110,5240
legendHorn,36,157,2427,0,5240
legendHorn,37,163,2584,0,5240
legendHorn,38,167,2747,0,5240
legendHorn,39,173,2914,0,5240
legendHorn,40,179,3087,1240,6480
legendHorn,41,181,3266,0,6480
legendHorn,42,191,3447,0,6480
legendHorn,43,193,3638,0,6480
legendHorn,44,197,3831,0,6480
legendHorn,45,199,4028,1370,7850
legendHorn,46,211,4227,0,7850
legendHorn,47,223,4438,0,7850
legendHorn,48,227,4661,0,7850
legendHorn,49,229,4888,0,7850
legendHorn,50,0,5117,0,7850
goldenSealRing,0,1,0,200,200
goldenSealRing,1,2,1,0,200
goldenSealRing,2,3,3,0,200
goldenSealRing,3,5,6,0,200
goldenSealRing,4,6,11,0,200
goldenSealRing,5,8,17,290,490
goldenSealRing,6,9,25,0,490
goldenSealRing,7,11,34,0,490
goldenSealRing,8,12,45,0,490
goldenSealRing,9,14,57,0,490
goldenSealRing,10,15,71,380,870
goldenSealRing,11,17,86,0,870
goldenSealRing,12,18,103,0,870
goldenSealRing,13,20,121,0,870
goldenSealRing,14,22,141,0,870
goldenSealRing,15,23,163,470,1340
goldenSealRing,16,25,186,0,1340
goldenSealRing,17,27,211,0,1340
goldenSealRing,18,28,238,0,1340
goldenSealRing,19,30,266,0,1340
goldenSealRing,20,32,296,560,1900
goldenSealRing,21,33,328,0,1900
goldenSealRing,22,35,361,0,1900
goldenSealRing,23,37,396,0,1900
goldenSealRing,24,39,433,0,1900
goldenSealRing,25,40,472,650,2550
goldenSealRing,26,42,512,0,2550
goldenSealRing,27,44,554,0,2550
goldenSealRing,28,46,598,0,2550
goldenSealRing,29,47,644,0,2550
goldenSealRing,30,49,691,740,3290
goldenSealRing,31,51,740,0,3290
goldenSealRing,32,53,791,0,3290
goldenSealRing,33,54,844,0,3290
goldenSealRing,34,56,898,0,3290
goldenSealRing,35,58,954,830,4120
goldenSealRing,36,60,1012,0,4120
goldenSealRing,37,62,1072,0,4120
goldenSealRing,38,63,1134,0,4120
goldenSealRing,39,65,1197,0,4120
goldenSealRing,40,67,1262,920,5040
goldenSealRing,41,69,1329,0,5040
goldenSealRing,42,71,1398,0,5040
goldenSealRing,43,73,1469,0,5040
goldenSealRing,44,74,1542,0,5040
goldenSealRing,45,76,1616,1010,6050
goldenSealRing,46,78,1692,0,6050
goldenSealRing,47,80,1770,0,6050
goldenSealRing,48,82,1850,0,6050
goldenSealRing,49,84,1932,0,6050
goldenSealRing,50,86,2016,1100,7150
goldenSealRing,51,87,2102,0,7150
goldenSealRing,52,89,2189,0,7150
goldenSealRing,53,91,2278,0,7150
goldenSealRing,54,93,2369,0,7150
goldenSealRing,55,95,2462,1190,8340
goldenSealRing,56,97,2557,0,8340
goldenSealRing,57,99,2654,0,8340
goldenSealRing,58,100,2753,0,8340
goldenSealRing,59,102,2853,0,8340
goldenSealRing,60,104,2955,1280,9620
goldenSealRing,61,106,3059,0,9620
goldenSealRing,62,108,3165,0,9620
goldenSealRing,63,110,3273,0,9620
goldenSealRing,64,112,3383,0,9620
goldenSealRing,65,114,3495,1370,10990
goldenSealRing,66,116,3609,0,10990
goldenSealRing,67,118,3725,0,10990
goldenSealRing,68,119,3843,0,10990
goldenSealRing,69,121,3962,0,10990
goldenSealRing,70,123,4083,1460,12450
goldenSealRing,71,125,4206,0,12450
goldenSealRing,72,127,4331,0,12450
goldenSealRing,73,129,4458,0,12450
goldenSealRing,74,131,4587,0,12450
goldenSealRing,75,133,4718,1550,14000
goldenSealRing,76,135,4851,0,14000
goldenSealRing,77,137,4986,0,14000
goldenSealRing,78,139,5123,0,14000
goldenSealRing,79,141,5262,0,14000
goldenSealRing,80,143,5403,1640,15640
goldenSealRing,81,144,5546,0,15640
goldenSealRing,82,146,5690,0,15640
goldenSealRing,83,148,5836,0,15640
goldenSealRing,84,150,5984,0,15640
goldenSealRing,85,152,6134,1730,17370
goldenSealRing,86,154,6286,0,17370
goldenSealRing,87,156,6440,0,17370
goldenSealRing,88,158,6596,0,17370
goldenSealRing,89,160,6754,0,17370
goldenSealRing,90,162,6914,1820,19190
goldenSealRing,91,164,7076,0,19190
goldenSealRing,92,166,7240,0,19190
goldenSealRing,93,168,7406,0,19190
goldenSealRing,94,170,7574,0,19190
goldenSealRing,95,172,7744,1910,21100
goldenSealRing,96,174,7916,0,21100
goldenSealRing,97,176,8090,0,21100
goldenSealRing,98,178,8266,0,21100
goldenSealRing,99,180,8444,0,21100
goldenSealRing,100,182,8624,2000,23100
goldenSealRing,101,184,8806,0,23100
goldenSealRing,102,186,8990,0,23100
goldenSealRing,103,188,9176,0,23100
goldenSealRing,104,190,9364,0,23100
goldenSealRing,105,192,9554,2000,25100
goldenSealRing,106,194,9746,0,25100
goldenSealRing,107,196,9940,0,25100
goldenSealRing,108,198,10136,0,25100
goldenSealRing,109,199,10334,0,25100
goldenSealRing,110,201,10533,2000,27100
goldenSealRing,111,203,10734,0,27100
goldenSealRing,112,205,10937,0,27100
goldenSealRing,113,207,11142,0,27100
goldenSealRing,114,209,11349,0,27100
goldenSealRing,115,211,11558,2000,29100
goldenSealRing,116,213,11769,0,29100
goldenSealRing,117,215,11982,0,29100
goldenSealRing,118,217,12197,0,29100
goldenSealRing,119,219,12414,0,29100
goldenSealRing,120,221,12633,2000,31100
goldenSealRing,121,223,12854,0,31100
goldenSealRing,122,225,13077,0,31100
goldenSealRing,123,228,13302,0,31100
goldenSealRing,124,230,13530,0,31100
goldenSealRing,125,232,13760,2000,33100
goldenSealRing,126,234,13992,0,33100
goldenSealRing,127,236,14226,0,33100
goldenSealRing,128,238,14462,0,33100
goldenSealRing,129,240,14700,0,33100
goldenSealRing,130,242,14940,2000,35100
goldenSealRing,131,244,15182,0,35100
goldenSealRing,132,246,15426,0,35100
goldenSealRing,133,248,15672,0,35100
goldenSealRing,134,250,15920,0,35100
goldenSealRing,135,252,16170,2000,37100
goldenSealRing,136,254,16422,0,37100
goldenSealRing,137,256,16676,0,37100
goldenSealRing,138,258,16932,0,37100
goldenSealRing,139,260,17190,0,37100
goldenSealRing,140,262,17450,2000,39100
goldenSealRing,141,264,17712,0,39100
goldenSealRing,142,266,17976,0,39100
goldenSealRing,143,268,18242,0,39100
goldenSealRing,144,270,18510,0,39100
goldenSealRing,145,272,18780,2000,41100
goldenSealRing,146,274,19052,0,41100
goldenSealRing,147,276,19326,0,41100
goldenSealRing,148,278,19602,0,41100
goldenSealRing,149,280,19880,0,41100
goldenSealRing,150,282,20160,2000,43100
goldenSealRing,151,284,20442,0,43100
goldenSealRing,152,286,20726,0,43100
goldenSealRing,153,288,21012,0,43100
goldenSealRing,154,290,21300,0,43100
goldenSealRing,155,293,21590,2000,45100
goldenSealRing,156,295,21883,0,45100
goldenSealRing,157,297,22178,0,45100
goldenSealRing,158,299,22475,0,45100
goldenSealRing,159,301,22774,0,45100
goldenSealRing,160,303,23075,2000,47100
goldenSealRing,161,305,23378,0,47100
goldenSealRing,162,307,23683,0,47100
goldenSealRing,163,309,23990,0,47100
goldenSealRing,164,311,24299,0,47100
goldenSealRing,165,313,24610,2000,49100
goldenSealRing,166,315,24923,0,49100
goldenSealRing,167,317,25238,0,49100
goldenSealRing,168,319,25555,0,49100
goldenSealRing,169,321,25874,0,49100
goldenSealRing,170,323,26195,2000,51100
goldenSealRing,171,325,26518,0,51100
goldenSealRing,172,328,26843,0,51100
goldenSealRing,173,330,27171,0,51100
goldenSealRing,174,332,27501,0,51100
goldenSealRing,175,334,27833,2000,53100
goldenSealRing,176,336,28167,0,53100
goldenSealRing,177,338,28503,0,53100
goldenSealRing,178,340,28841,0,53100
goldenSealRing,179,342,29181,0,53100
goldenSealRing,180,344,29523,2000,55100
goldenSealRing,181,346,29867,0,55100
goldenSealRing,182,348,30213,0,55100
goldenSealRing,183,350,30561,0,55100
goldenSealRing,184,352,30911,0,55100
goldenSealRing,185,355,31263,2000,57100
goldenSealRing,186,357,31618,0,57100
goldenSealRing,187,359,31975,0,57100
goldenSealRing,188,361,32334,0,57100
goldenSealRing,189,363,32695,0,57100
goldenSealRing,190,365,33058,2000,59100
goldenSealRing,191,367,33423,0,59100
goldenSealRing,192,369,33790,0,59100
goldenSealRing,193,371,34159,0,59100
goldenSealRing,194,373,34530,0,59100
goldenSealRing,195,375,34903,2000,61100
goldenSealRing,196,377,35278,0,61100
goldenSealRing,197,380,35655,0,61100
goldenSealRing,198,382,36035,0,61100
goldenSealRing,199,384,36417,0,61100
goldenSealRing,200,386,36801,2000,63100
goldenSealRing,201,388,37187,0,63100
goldenSealRing,202,390,37575,0,63100
goldenSealRing,203,392,37965,0,63100
goldenSealRing,204,394,38357,0,63100
goldenSealRing,205,396,38751,2000,65100
goldenSealRing,206,398,39147,0,65100
goldenSealRing,207,401,39545,0,65100
goldenSealRing,208,403,39946,0,65100
goldenSealRing,209,405,40349,0,65100
goldenSealRing,210,407,40754,2000,67100
goldenSealRing,211,409,41161,0,67100
goldenSealRing,212,411,41570,0,67100
goldenSealRing,213,413,41981,0,67100
goldenSealRing,214,415,42394,0,67100
goldenSealRing,215,417,42809,2000,69100
goldenSealRing,216,419,43226,0,69100
goldenSealRing,217,422,43645,0,69100
goldenSealRing,218,424,44067,0,69100
goldenSealRing,219,426,44491,0,69100
goldenSealRing,220,428,44917,2000,71100
goldenSealRing,221,430,45345,0,71100
goldenSealRing,222,432,45775,0,71100
goldenSealRing,223,434,46207,0,71100
goldenSealRing,224,436,46641,0,71100
goldenSealRing,225,438,47077,2000,73100
goldenSealRing,226,441,47515,0,73100
goldenSealRing,227,443,47956,0,73100
goldenSealRing,228,445,48399,0,73100
goldenSealRing,229,447,48844,0,73100
goldenSealRing,230,449,49291,2000,75100
goldenSealRing,231,451,49740,0,75100
goldenSealRing,232,453,50191,0,75100
goldenSealRing,233,455,50644,0,75100
goldenSealRing,234,458,51099,0,75100
goldenSealRing,235,460,51557,2000,77100
goldenSealRing,236,462,52017,0,77100
goldenSealRing,237,464,52479,0,77100
goldenSealRing,238,466,52943,0,77100
goldenSealRing,239,468,53409,0,77100
goldenSealRing,240,470,53877,2000,79100
goldenSealRing,241,472,54347,0,79100
goldenSealRing,242,475,54819,0,79100
goldenSealRing,243,477,55294,0,79100
goldenSealRing,244,479,55771,0,79100
goldenSealRing,245,481,56250,2000,81100
goldenSealRing,246,483,56731,0,81100
goldenSealRing,247,485,57214,0,81100
goldenSealRing,248,487,57699,0,81100
goldenSealRing,249,489,58186,0,81100
goldenSealRing,250,492,58675,2000,83100
goldenSealRing,251,494,59167,0,83100
goldenSealRing,252,496,59661,0,83100
goldenSealRing,253,498,60157,0,83100
goldenSealRing,254,500,60655,0,83100
goldenSealRing,255,502,61155,2000,85100
goldenSealRing,256,504,61657,0,85100
goldenSealRing,257,507,62161,0,85100
goldenSealRing,258,509,62668,0,85100
goldenSealRing,259,511,63177,0,85100
goldenSealRing,260,513,63688,2000,87100
goldenSealRing,261,515,64201,0,87100
goldenSealRing,262,517,64716,0,87100
goldenSealRing,263,519,65233,0,87100
goldenSealRing,264,522,65752,0,87100
goldenSealRing,265,524,66274,2000,89100
goldenSealRing,266,526,66798,0,89100
goldenSealRing,267,528,67324,0,89100
goldenSealRing,268,530,67852,0,89100
goldenSealRing,269,532,68382,0,89100
goldenSealRing,270,534,68914,2000,91100
goldenSealRing,271,537,69448,0,91100
goldenSealRing,272,539,69985,0,91100
goldenSealRing,273,541,70524,0,91100
goldenSealRing,274,543,71065,0,91100
goldenSealRing,275,545,71608,2000,93100
goldenSealRing,276,547,72153,0,93100
goldenSealRing,277,549,72700,0,93100
goldenSealRing,278,552,73249,0,93100
goldenSealRing,279,554,73801,0,93100
goldenSealRing,280,556,74355,2000,95100
goldenSealRing,281,558,74911,0,95100
goldenSealRing,282,560,75469,0,95100
goldenSealRing,283,562,76029,0,95100
goldenSealRing,284,565,76591,0,95100
goldenSealRing,285,567,77156,2000,97100
goldenSealRing,286,569,77723,0,97100
goldenSealRing,287,571,78292,0,97100
goldenSealRing,288,573,78863,0,97100
goldenSealRing,289,575,79436,0,97100
goldenSealRing,290,577,80011,2000,99100
goldenSealRing,291,580,80588,0,99100
goldenSealRing,292,582,81168,0,99100
goldenSealRing,293,584,81750,0,99100
goldenSealRing,294,586,82334,0,99100
goldenSealRing,295,588,82920,2000,101100
goldenSealRing,296,590,83508,0,101100
goldenSealRing,297,593,84098,0,101100
goldenSealRing,298,595,84691,0,101100
goldenSealRing,299,597,85286,0,101100
goldenSealRing,300,0,85883,0,101100
flameTalisman,0,1,0,200,200
flameTalisman,1,2,1,0,200
flameTalisman,2,4,3,0,200
flameTalisman,3,6,7,0,200
flameTalisman,4,8,13,0,200
flameTalisman,5,10,21,270,470
flameTalisman,6,12,31,0,470
flameTalisman,7,14,43,0,470
flameTalisman,8,16,57,0,470
flameTalisman,9,18,73,0,470
flameTalisman,10,20,91,340,810
flameTalisman,11,22,111,0,810
flameTalisman,12,24,133,0,810
flameTalisman,13,27,157,0,810
flameTalisman,14,29,184,0,810
flameTalisman,15,31,213,410,1220
flameTalisman,16,34,244,0,1220
flameTalisman,17,36,278,0,1220
flameTalisman,18,38,314,0,1220
flameTalisman,19,41,352,0,1220
flameTalisman,20,43,393,480,1700
flameTalisman,21,45,436,0,1700
flameTalisman,22,48,481,0,1700
flameTalisman,23,50,529,0,1700
flameTalisman,24,53,579,0,1700
flameTalisman,25,55,632,550,2250
flameTalisman,26,58,687,0,2250
flameTalisman,27,60,745,0,2250
flameTalisman,28,63,805,0,2250
flameTalisman,29,65,868,0,2250
flameTalisman,30,68,933,620,2870
flameTalisman,31,70,1001,0,2870
flameTalisman,32,73,1071,0,2870
flameTalisman,33,75,1144,0,2870
flameTalisman,34,78,1219,0,2870
flameTalisman,35,81,1297,690,3560
flameTalisman,36,83,1378,0,3560
flameTalisman,37,86,1461,0,3560
flameTalisman,38,88,1547,0,3560
flameTalisman,39,91,1635,0,3560
flameTalisman,40,94,1726,760,4320
flameTalisman,41,96,1820,0,4320
flameTalisman,42,99,1916,0,4320
flameTalisman,43,102,2015,0,4320
flameTalisman,44,104,2117,0,4320
flameTalisman,45,107,2221,830,5150
flameTalisman,46,110,2328,0,5150
flameTalisman,47,112,2438,0,5150
flameTalisman,48,115,2550,0,5150
flameTalisman,49,118,2665,0,5150
flameTalisman,50,121,2783,900,6050
flameTalisman,51,123,2904,0,6050
flameTalisman,52,126,3027,0,6050
flameTalisman,53,129,3153,0,6050
flameTalisman,54,131,3282,0,6050
flameTalisman,55,134,3413,970,7020
flameTalisman,56,137,3547,0,7020
flameTalisman,57,140,3684,0,7020
flameTalisman,58,142,3824,0,7020
flameTalisman,59,145,3966,0,7020
flameTalisman,60,148,4111,1040,8060
flameTalisman,61,151,4259,0,8060
flameTalisman,62,154,4410,0,8060
flameTalisman,63,156,4564,0,8060
flameTalisman,64,159,4720,0,8060
flameTalisman,65,162,4879,1110,9170
flameTalisman,66,165,5041,0,9170
flameTalisman,67,168,5206,0,9170
flameTalisman,68,170,5374,0,9170
flameTalisman,69,173,5544,0,9170
flameTalisman,70,176,5717,1180,10350
flameTalisman,71,179,5893,0,10350
flameTalisman,72,182,6072,0,10350
flameTalisman,73,185,6254,0,10350
flameTalisman,74,187,6439,0,10350
flameTalisman,75,190,6626,1250,11600
flameTalisman,76,193,6816,0,11600
flameTalisman,77,196,7009,0,11600
flameTalisman,78,199,7205,0,11600
flameTalisman,79,202,7404,0,11600
flameTalisman,80,205,7606,1320,12920
flameTalisman,81,207,7811,0,12920
flameTalisman,82,210,8018,0,12920
flameTalisman,83,213,8228,0,12920
flameTalisman,84,216,8441,0,12920
flameTalisman,85,219,8657,1390,14310
flameTalisman,86,222,8876,0,14310
flameTalisman,87,225,9098,0,14310
flameTalisman,88,228,9323,0,14310
flameTalisman,89,231,9551,0,14310
flameTalisman,90,233,9782,1460,15770
flameTalisman,91,236,10015,0,15770
flameTalisman,92,239,10251,0,15770
flameTalisman,93,242,10490,0,15770
flameTalisman,94,245,10732,0,15770
flameTalisman,95,248,10977,1530,17300
flameTalisman,96,251,11225,0,17300
flameTalisman,97,254,11476,0,17300
flameTalisman,98,257,11730,0,17300
flameTalisman,99,260,11987,0,17300
flameTalisman,100,263,12247,1600,18900
flameTalisman,101,266,12510,0,18900
flameTalisman,102,269,12776,0,18900
flameTalisman,103,272,13045,0,18900
flameTalisman,104,275,13317,0,18900
flameTalisman,105,278,13592,1670,20570
flameTalisman,106,281,13870,0,20570
flameTalisman,107,284,14151,0,20570
flameTalisman,108,287,14435,0,20570
flameTalisman,109,289,14722,0,20570
