레벨,소모 RP,누적 RP,최종 데미지,효과,추가 효과
11,"19,000,000,000,000","111,000,000,000,000",19%,"몬스터 HP 100% 기준 최종 데미지 +19%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
12,"21,000,000,000,000","132,000,000,000,000",21%,"몬스터 HP 100% 기준 최종 데미지 +21%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
13,"25,000,000,000,000","157,000,000,000,000",24%,"몬스터 HP 100% 기준 최종 데미지 +24%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
14,"28,000,000,000,000","185,000,000,000,000",27%,"몬스터 HP 100% 기준 최종 데미지 +27%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
15,"33,000,000,000,000","218,000,000,000,000",30%,"몬스터 HP 100% 기준 최종 데미지 +30%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
16,"37,000,000,000,000","255,000,000,000,000",34%,"몬스터 HP 100% 기준 최종 데미지 +34%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
17,"43,000,000,000,000","298,000,000,000,000",38%,"몬스터 HP 100% 기준 최종 데미지 +38%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
18,"50,000,000,000,000","348,000,000,000,000",43%,"몬스터 HP 100% 기준 최종 데미지 +43%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
19,"57,000,000,000,000","405,000,000,000,000",49%,"몬스터 HP 100% 기준 최종 데미지 +49%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
20,"65,000,000,000,000","470,000,000,000,000",56%,"몬스터 HP 100% 기준 최종 데미지 +56%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
21,"75,000,000,000,000","545,000,000,000,000",64%,"몬스터 HP 100% 기준 최종 데미지 +64%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
22,"87,000,000,000,000","632,000,000,000,000",72%,"몬스터 HP 100% 기준 최종 데미지 +72%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
23,"100,000,000,000,000","732,000,000,000,000",82%,"몬스터 HP 100% 기준 최종 데미지 +82%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
24,"115,000,000,000,000","847,000,000,000,000",93%,"몬스터 HP 100% 기준 최종 데미지 +93%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
25,"132,000,000,000,000","979,000,000,000,000",106%,"몬스터 HP 100% 기준 최종 데미지 +106%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
26,"151,000,000,000,000","1,130,000,000,000,000",120%,"몬스터 HP 100% 기준 최종 데미지 +120%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
27,"174,000,000,000,000","1,304,000,000,000,000",137%,"몬스터 HP 100% 기준 최종 데미지 +137%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
28,"200,000,000,000,000","1,504,000,000,000,000",155%,"몬스터 HP 100% 기준 최종 데미지 +155%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
29,"230,000,000,000,000","1,734,000,000,000,000",176%,"몬스터 HP 100% 기준 최종 데미지 +176%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
30,"266,000,000,000,000","2,000,000,000,000,000",200%,"몬스터 HP 100% 기준 최종 데미지 +200%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
