레벨,환포,누적경험치,환포,환포/경치
235,"438,800 ","233,697,367,284","438,800",0.0000018776 
236,"469,050 ","245,295,517,178","469,050",0.0000019122 
237,"501,050 ","257,425,140,061","501,050",0.0000019464 
238,"534,800 ","270,108,066,684","534,800",0.0000019799 
239,"570,300 ","283,366,856,335","570,300",0.0000020126 
240,"607,550 ","297,225,826,290","607,550",0.0000020441 
241,"647,800 ","311,710,080,343","647,800",0.0000020782 
242,"691,300 ","326,845,537,764","691,300",0.0000021151 
243,"738,300 ","342,658,961,341","738,300",0.0000021546 
244,"788,800 ","359,177,984,832","788,800",0.0000021961 
245,"842,800 ","376,431,141,493","842,800",0.0000022389 
246,"900,300 ","394,447,890,753","900,300",0.0000022824 
247,"961,300 ","413,258,645,794","961,300",0.0000023261 
248,"1,025,800 ","432,894,801,892","1,025,800",0.0000023696 
249,"1,093,800 ","453,388,765,178","1,093,800",0.0000024125 
250,"1,165,300 ","474,773,989,565","1,165,300",0.0000024544 
251,"1,265,300 ","497,085,025,792","1,265,300",0.0000025454 
252,"1,365,300 ","520,357,913,903","1,365,300",0.0000026238 
253,"1,465,300 ","544,629,701,699","1,465,300",0.0000026905 
254,"1,565,300 ","569,939,031,824","1,565,300",0.0000027464 
255,"1,665,300 ","596,326,176,504","1,665,300",0.0000027926 
256,"1,765,300 ","623,833,082,373","1,765,300",0.0000028298 
257,"1,865,300 ","652,503,415,556","1,865,300",0.0000028587 
258,"1,965,300 ","682,382,616,437","1,965,300",0.0000028801 
259,"2,065,300 ","713,517,954,657","2,065,300",0.0000028945 
260,"2,165,300 ","745,958,585,708","2,165,300",0.0000029027 
261,"2,300,300 ","779,755,607,049","2,300,300",0.0000029500 
262,"2,435,300 ","814,962,114,848","2,435,300",0.0000029882 
263,"2,570,300 ","851,633,264,315","2,570,300",0.0000030181 
264,"2,705,300 ","889,826,329,551","2,705,300",0.0000030403 
265,"2,840,300 ","929,600,766,146","2,840,300",0.0000030554 
266,"2,975,300 ","971,018,271,597","2,975,300",0.0000030641 
267,"3,110,300 ","1,014,142,847,468","3,110,300",0.0000030669 
268,"3,245,300 ","1,059,040,863,256","3,245,300",0.0000030644 
269,"3,380,300 ","1,105,781,119,832","3,380,300",0.0000030569 
270,"3,515,300 ","1,154,434,910,859","3,515,300",0.0000030450 
271,"3,685,300 ","1,205,076,086,740","3,685,300",0.0000030581 
272,"3,855,300 ","1,257,781,118,915","3,855,300",0.0000030652 
273,"4,025,300 ","1,312,629,167,061","4,025,300",0.0000030666 
274,"4,195,300 ","1,369,702,143,494","4,195,300",0.0000030629 
275,"4,365,300 ","1,429,084,785,886","4,365,300",0.0000030546 
276,"4,535,300 ","1,490,865,722,578","4,535,300",0.0000030421 
277,"4,705,300 ","1,555,137,538,063","4,705,300",0.0000030256 
278,"4,875,300 ","1,621,996,849,646","4,875,300",0.0000030057 
279,"5,045,300 ","1,691,544,373,517","5,045,300",0.0000029827 
280,"5,215,300 ","1,763,885,001,966","5,215,300",0.0000029567 
281,"5,425,300 ","1,839,127,870,661","5,425,300",0.0000029499 
282,"5,635,300 ","1,917,386,434,440","5,635,300",0.0000029391 
283,"5,845,300 ","1,998,777,534,091","5,845,300",0.0000029244 
284,"6,055,300 ","2,083,422,472,880","6,055,300",0.0000029064 
285,"6,265,300 ","2,171,447,092,563","6,265,300",0.0000028853 
286,"6,475,300 ","2,262,981,850,540","6,475,300",0.0000028614 
287,"6,685,300 ","2,358,161,894,976","6,685,300",0.0000028350 
288,"6,895,300 ","2,457,127,149,612","6,895,300",0.0000028062 
289,"7,105,300 ","2,560,022,387,943","7,105,300",0.0000027755 
290,"7,315,300 ","2,666,997,313,015","7,315,300",0.0000027429 
291,"7,584,300 ","2,778,206,632,466","7,584,300",0.0000027299 
292,"7,853,300 ","2,893,810,129,225","7,853,300",0.0000027138 
293,"8,122,300 ","3,013,972,732,880","8,122,300",0.0000026949 
294,"8,391,300 ","3,138,865,591,811","8,391,300",0.0000026734 
295,"8,660,300 ","3,268,665,245,139","8,660,300",0.0000026495 
296,"8,929,300 ","3,403,554,691,933","8,929,300",0.0000026235 
297,"9,198,300 ","3,543,723,459,301","9,198,300",0.0000025957 
298,"9,467,300 ","3,689,367,677,933","9,467,300",0.0000025661 
299,"9,736,300 ","3,840,690,154,736","9,736,300",0.0000025350 
300,"10,005,300 ","3,997,900,444,204","10,005,300",0.0000025026 
301,"11,790,347","4,161,214,913,625","11,790,347",0.0000028334 
302,"12,273,603","4,333,511,678,864","12,273,603",0.0000028323 
303,"12,782,477","4,515,384,726,391","12,782,477",0.0000028309 
304,"13,318,534","4,707,260,791,528","13,318,534",0.0000028294 
305,"13,888,444","4,909,690,020,248","13,888,444",0.0000028288 
306,"14,491,941","5,123,232,866,547","14,491,941",0.0000028287 
307,"15,118,859","5,348,460,569,252","15,118,859",0.0000028268 
308,"15,784,038","5,585,975,795,606","15,784,038",0.0000028257 
309,"16,486,471","5,836,414,359,410","16,486,471",0.0000028248 
310,"17,228,950","6,100,627,044,043","17,228,950",0.0000028241 
311,"18,013,488","6,379,311,426,231","18,013,488",0.0000028237 
312,"18,828,382","6,673,343,449,439","18,828,382",0.0000028214 
313,"19,700,007","6,983,647,233,923","19,700,007",0.0000028209 
314,"20,618,456","7,311,197,726,254","20,618,456",0.0000028201 
315,"21,584,849","7,657,023,495,663","21,584,849",0.0000028190 
316,"22,605,403","8,022,119,682,360","22,605,403",0.0000028179 
317,"23,680,898","8,407,246,159,325","23,680,898",0.0000028167 
318,"24,812,330","8,813,204,592,523","24,812,330",0.0000028154 
319,"26,010,909","9,240,840,739,547","26,010,909",0.0000028148 
320,"27,274,122","9,691,046,854,657","27,274,122",0.0000028144 
321,"28,594,303","10,164,764,306,098","28,594,303",0.0000028131 
322,"29,985,028","10,662,986,217,368","29,985,028",0.0000028121 
323,"31,449,952","11,186,760,333,758","31,449,952",0.0000028114 
324,"32,992,820","11,737,192,026,539","32,992,820",0.0000028110 
325,"34,610,432","12,315,447,462,403","34,610,432",0.0000028103 
326,"36,306,662","12,922,756,947,239","36,306,662",0.0000028095 
327,"38,085,461","13,560,418,453,741","38,085,461",0.0000028086 
328,"39,950,864","14,229,801,343,101","39,950,864",0.0000028075 
329,"41,908,001","14,932,348,791,195","41,908,001",0.0000028065 
330,"43,963,307","15,669,581,348,454","43,963,307",0.0000028056 
331,"46,114,220","16,443,100,695,241","46,114,220",0.0000028045 
332,"48,385,471","17,254,593,605,100","48,385,471",0.0000028042 
333,"50,757,945","18,105,835,620,598","50,757,945",0.0000028034 
334,"53,243,703","18,998,695,946,948","53,243,703",0.0000028025 
335,"55,846,033","19,935,142,591,247","55,846,033",0.0000028014 
336,"58,580,362","20,917,247,801,082","58,580,362",0.0000028006 
337,"61,451,466","21,947,193,697,454","61,451,466",0.0000028000 
338,"64,465,388","23,027,276,625,526","64,465,388",0.0000027995 
339,"67,628,468","24,159,914,114,022","67,628,468",0.0000027992 
340,"70,929,350","25,347,650,933,664","70,929,350",0.0000027983 
341,"74,400,012","26,593,166,316,374","74,400,012",0.0000027977 
342,"78,032,706","27,899,280,043,450","78,032,706",0.0000027969 
343,"81,847,078","29,268,960,021,535","81,847,078",0.0000027964 
344,"85,843,112","30,705,329,998,454","85,843,112",0.0000027957 
345,"90,024,338","32,211,678,724,111","90,024,338",0.0000027948 
346,"94,406,720","33,791,469,686,679","94,406,720",0.0000027938 
347,"99,006,771","35,448,350,147,206","99,006,771",0.0000027930 
348,"103,841,626","37,186,159,032,461","103,841,626",0.0000027925 
349,"108,929,109","39,008,936,402,354","108,929,109",0.0000027924 
350,"114,226,692","40,920,932,495,731","114,226,692",0.0000027914 
351,"120,074,869","42,926,828,373,982","120,074,869",0.0000027972 
352,"126,196,149","45,030,411,891,102","126,196,149",0.0000028025 
353,"132,624,498","47,236,418,943,776","132,624,498",0.0000028077 
354,"139,374,225","49,549,878,278,840","139,374,225",0.0000028128 
355,"146,416,361","51,976,127,081,779","146,416,361",0.0000028170 
356,"153,825,867","54,520,826,865,101","153,825,867",0.0000028214 
357,"161,601,515","57,189,980,385,822","161,601,515",0.0000028257 
358,"169,742,879","59,989,949,118,090","169,742,879",0.0000028295 
359,"178,259,393","62,927,471,303,664","178,259,393",0.0000028328 
360,"187,248,430","66,009,680,570,782","187,248,430",0.0000028367 
361,"196,629,299","69,244,125,155,771","196,629,299",0.0000028397 
362,"206,561,288","72,638,788,762,269","206,561,288",0.0000028437 
363,"216,923,582","76,202,112,158,483","216,923,582",0.0000028467 
364,"227,763,292","79,943,015,572,128","227,763,292",0.0000028491 
365,"239,156,976","83,870,921,889,162","239,156,976",0.0000028515 
366,"251,131,063","87,995,780,902,782","251,131,063",0.0000028539 
367,"263,784,952","92,328,095,571,408","263,784,952",0.0000028570 
368,"277,030,007","96,878,949,415,970","277,030,007",0.0000028595 
369,"290,932,568","101,660,035,175,518","290,932,568",0.0000028618 
370,"305,517,605","106,683,684,868,960","305,517,605",0.0000028638 
371,"320,893,867","111,962,901,361,645","320,893,867",0.0000028661 
372,"337,024,067","117,511,391,586,915","337,024,067",0.0000028680 
373,"353,984,969","123,343,601,497,078","353,984,969",0.0000028699 
374,"371,808,378","129,474,752,834,197","371,808,378",0.0000028717 
375,"390,479,990","135,920,881,810,390","390,479,990",0.0000028728 
376,"410,131,523","142,698,880,681,082","410,131,523",0.0000028741 
377,"430,778,753","149,826,541,342,100","430,778,753",0.0000028752 
378,"452,560,527","157,322,600,954,991","452,560,527",0.0000028766 
379,"475,525,644","165,206,789,673,514","475,525,644",0.0000028784 
380,"499,620,676","173,499,880,661,299","499,620,676",0.0000028797 
381,"524,980,161","182,223,743,373,716","524,980,161",0.0000028810 
382,"551,643,481","191,401,399,474,642","551,643,481",0.0000028821 
383,"579,649,905","201,057,082,296,413","579,649,905",0.0000028830 
384,"609,125,642","211,216,299,107,166","609,125,642",0.0000028839 
385,"640,108,363","221,905,896,658,219","640,108,363",0.0000028846 
386,"672,788,478","233,154,130,406,543","672,788,478",0.0000028856 
387,"707,288,291","244,990,737,233,585","707,288,291",0.0000028870 
388,"743,623,052","257,447,011,939,834","743,623,052",0.0000028885 
389,"781,350,872","270,555,887,719,509","781,350,872",0.0000028879 
390,"821,188,075","284,352,020,418,264","821,188,075",0.0000028879 
391,"863,166,925","298,871,876,488,854","863,166,925",0.0000028881 
392,"907,459,723","314,153,825,077,961","907,459,723",0.0000028886 
393,"954,061,777","330,238,233,961,383","954,061,777",0.0000028890 
394,"1,003,180,389","347,167,569,891,598","1,003,180,389",0.0000028896 
395,"1,054,613,442","364,986,502,931,851","1,054,613,442",0.0000028895 
396,"1,108,977,687","383,742,015,554,948","1,108,977,687",0.0000028899 
397,"1,166,276,974","403,483,517,075,187","1,166,276,974",0.0000028905 
398,"1,226,587,103","424,262,964,869,453","1,226,587,103",0.0000028911 
399,"1,289,809,058","446,134,991,155,360","1,289,809,058",0.0000028911 
400,"1,356,275,385","469,157,035,668,165","1,356,275,385",0.0000028909 
401,"1,422,847,564 ","493,389,485,550,451","1,422,847,564",0.0000028838 
402,"1,492,905,497 ","518,895,978,988,551","1,492,905,497",0.0000028771 
403,"1,566,631,643 ","545,743,500,005,451","1,566,631,643",0.0000028706 
404,"1,644,218,017 ","574,002,554,371,551","1,644,218,017",0.0000028645 
405,"1,725,866,682 ","603,747,354,763,451","1,725,866,682",0.0000028586 
406,"1,811,790,278 ","635,056,015,658,251","1,811,790,278",0.0000028530 
407,"1,902,212,577 ","668,010,758,474,151","1,902,212,577",0.0000028476 
408,"1,997,369,061 ","702,698,127,496,651","1,997,369,061",0.0000028424 
409,"2,097,507,542 ","739,209,217,157,651","2,097,507,542",0.0000028375 
410,"2,202,888,799 ","777,639,911,263,351","2,202,888,799",0.0000028328 
411,"2,313,787,266 ","818,091,134,799,951","2,313,787,266",0.0000028283 
412,"2,430,491,738 ","860,669,118,978,651","2,430,491,738",0.0000028240 
413,"2,553,306,128 ","905,485,680,215,251","2,553,306,128",0.0000028198 
414,"2,682,550,257 ","952,658,513,777,351","2,682,550,257",0.0000028159 
415,"2,818,560,687 ","1,002,311,502,870,650","2,818,560,687",0.0000028121 
416,"2,961,691,595 ","1,054,575,043,975,350","2,961,691,595",0.0000028084 
417,"3,112,315,699 ","1,109,586,389,287,650","3,112,315,699",0.0000028049 
418,"3,270,825,225 ","1,167,490,007,165,550","3,270,825,225",0.0000028016 
419,"3,437,632,930 ","1,228,437,961,525,150","3,437,632,930",0.0000027984 
420,"3,613,173,176 ","1,292,590,311,183,950","3,613,173,176",0.0000027953 
421,"3,797,903,061 ","1,360,115,530,200,550","3,797,903,061",0.0000027923 
422,"3,992,303,607 ","1,431,190,950,313,750","3,992,303,607",0.0000027895 
423,"4,196,881,017 ","1,506,003,226,642,950","4,196,881,017",0.0000027868 
424,"4,412,167,990 ","1,584,748,827,873,850","4,412,167,990",0.0000027841 
425,"4,638,725,106 ","1,667,634,552,215,950","4,638,725,106",0.0000027816 
426,"4,877,142,288 ","1,754,878,070,486,450","4,877,142,288",0.0000027792 
427,"5,128,040,339 ","1,846,708,497,747,950","5,128,040,339",0.0000027769 
428,"5,392,072,556 ","1,943,366,995,000,250","5,392,072,556",0.0000027746 
429,"5,669,926,429 ","2,045,107,402,506,250","5,669,926,429",0.0000027724 
430,"5,962,325,436 ","2,152,196,906,417,250","5,962,325,436",0.0000027703 
431,"6,270,030,923 ","2,264,916,740,444,250","6,270,030,923",0.0000027683 
432,"6,593,844,085 ","2,383,562,924,421,250","6,593,844,085",0.0000027664 
433,"6,934,608,058 ","2,508,447,041,700,250","6,934,608,058",0.0000027645 
434,"7,293,210,104 ","2,639,897,057,418,250","7,293,210,104",0.0000027627 
435,"7,670,583,932 ","2,778,258,179,782,250","7,670,583,932",0.0000027609 
436,"8,067,712,120 ","2,923,893,766,642,250","8,067,712,120",0.0000027592 
437,"8,485,628,677 ","3,077,186,279,725,250","8,485,628,677",0.0000027576 
438,"8,925,421,737 ","3,238,538,289,037,250","8,925,421,737",0.0000027560 
439,"9,388,236,387 ","3,408,373,530,077,250","9,388,236,387",0.0000027545 
440,"9,875,277,650 ","3,587,138,016,630,250","9,875,277,650",0.0000027530 
441,"10,387,813,623 ","3,775,301,212,072,250","10,387,813,623",0.0000027515 
442,"10,927,178,780 ","3,973,357,262,251,250","10,927,178,780",0.0000027501 
443,"11,494,777,442 ","4,181,826,293,191,250","11,494,777,442",0.0000027487 
444,"12,092,087,435 ","4,401,255,777,025,250","12,092,087,435",0.0000027474 
445,"12,720,663,938 ","4,632,221,969,743,250","12,720,663,938",0.0000027461 
446,"13,382,143,531 ","4,875,331,424,528,250","13,382,143,531",0.0000027449 
447,"14,078,248,455 ","5,131,222,584,660,250","14,078,248,455",0.0000027436 
448,"14,810,791,097 ","5,400,567,460,167,250","14,810,791,097",0.0000027425 
449,"15,581,678,708 ","5,684,073,392,629,250","15,581,678,708",0.0000027413 
450,"16,392,918,365 ","5,982,484,912,765,250","16,392,918,365",0.0000027402 
451,"17,246,622,203 ","6,296,585,695,690,250","17,246,622,203",0.0000027390 
452,"18,145,012,906 ","6,627,200,618,964,250","18,145,012,906",0.0000027380 
453,"19,090,429,498 ","6,975,197,928,852,250","19,090,429,498",0.0000027369 
454,"20,085,333,432 ","7,341,491,520,472,250","20,085,333,432",0.0000027359 
455,"21,132,314,995 ","7,727,043,337,826,250","21,132,314,995",0.0000027349 
456,"22,234,100,054 ","8,132,865,900,017,250","22,234,100,054",0.0000027339 
457,"23,393,557,153 ","8,560,024,960,279,250","23,393,557,153",0.0000027329 
458,"24,613,704,977 ","9,009,642,304,812,250","24,613,704,977",0.0000027319 
459,"25,897,720,214 ","9,482,898,698,767,250","25,897,720,214",0.0000027310 
460,"27,248,945,824 ","9,981,036,987,119,250","27,248,945,824",0.0000027301 
461,"28,670,899,740 ","10,505,365,358,573,300","28,670,899,740",0.0000027292 
462,"30,167,284,029 ","11,057,260,781,070,300","30,167,284,029",0.0000027283 
463,"31,741,994,527 ","11,638,172,617,917,300","31,741,994,527",0.0000027274 
464,"33,399,130,981 ","12,249,626,434,045,300","33,399,130,981",0.0000027265 
465,"35,143,007,724 ","12,893,228,002,377,300","35,143,007,724",0.0000027257 
466,"36,978,164,905 ","13,570,667,520,839,300","36,978,164,905",0.0000027249 
467,"38,909,380,307 ","14,283,724,051,083,300","38,909,380,307",0.0000027240 
468,"40,941,681,787 ","15,034,270,190,578,300","40,941,681,787",0.0000027232 
469,"43,080,360,363 ","15,824,276,990,345,300","43,080,360,363",0.0000027224 
470,"45,330,983,987 ","16,655,819,131,243,300","45,330,983,987",0.0000027216 
471,"47,699,412,044 ","17,531,080,372,403,300","47,699,412,044",0.0000027208 
472,"50,191,810,601 ","18,452,359,286,121,300","50,191,810,601",0.0000027201 
473,"52,814,668,458 ","19,422,075,294,265,300","52,814,668,458",0.0000027193 
474,"55,574,814,045 ","20,442,775,022,055,300","55,574,814,045",0.0000027186 
475,"58,479,433,194 ","21,517,138,985,895,300","58,479,433,194",0.0000027178 
