부스트,,,,,경험치 RP (1~200),,,,, 강화 확률 증가,,,,,SP 증가량,,,,,장비 제한 레벨 감소,,,,,샤프 ,,,,,버서크 ,,,,,쉐도우 파트너,,,,,환포증가,,,,,비홀더버프,,,,,타겟,,,,,강횟,,,,,매용,,,,,원거리마스터리,,,,,,어드밴스드 콤보,,,,,파이널어택,,,,,너클마스터리,,,,,크리티컬 리인포스,,,,,오브 마스터리,,,,,,아드레날린,,,,,
레벨,소모 RP,누적 RP,효과,,레벨,필요 RP,누적 RP,효과,,레벨,소모 포인트,누적 포인트,효과,,레벨,SP 증가,누적 환포,효과,,레벨,감소량,누적 감소량,효과,,레벨,샤프 소모값,누적 RP,효과,,레벨,버서크 소모값,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,,레벨,소모 RP,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,레벨,비용,누적 비용,효과,,레벨,소모 RP,누적 RP,숙련도,데미지,,레벨,소모 RP,누적 RP,지속시간,데미지,쿨타임
,,,,,11 ,6 ,36 ,경험치+11%,,,,,,,11 ,"1,280 ","5,159 ",sp+11,,11 ,163 ,942 ,장비lv-55,,11 ,"11,000 ","66,000 ","크확+6% ,데미지+21%",,11 ,"11,000 ","66,000 ",데미지+143%,,11 ,"550,000 ","3,300,000 ",데미지+52%,,11 ,305 ,"1,386 ",환생포인트+110%,,,,,,,,,,,,,,,,,11 ,"2,600,000 ","17,600,000 ",최종올스탯+11%,,11 ,"11,000 ","66,000 ","활,석궁 숙련도+40% 명중+11",,,11 ,"110,000,000 ","660,000,000 ",최종뎀 111%,,,,,,,11 ,"11,000 ","66,000 ",너클 숙련도+40% 명중+11,,11,"1,100,000,000 ","6,600,000,000",크리티컬 확률의 31% 만큼 크리티컬 데미지 증가,,11 ,"110,000,000,000 ","660,000,000,000 ",11%,6%,,11,"1,100,000,000,000 ","6,600,000,000,000 ",15,110,125
,,,,,12 ,6 ,42 ,경험치+12%,,,,,,,12 ,"1,540 ","6,699 ",sp+12,,12 ,184 ,"1,126 ",장비lv-60,,12 ,"12,000 ","78,000 ","크확+6% ,데미지+22%",,12 ,"12,000 ","78,000 ",데미지+146%,,12 ,"600,000 ","3,900,000 ",데미지+54%,,12 ,360 ,"1,746 ",환생포인트+120%,,,,,,,,,,,,,,,,,12 ,"2,800,000 ","20,400,000 ",최종올스탯+12%,,12 ,"12,000 ","78,000 ","활,석궁 숙련도+40% 명중+12",,,12 ,"120,000,000 ","780,000,000 ",최종뎀 112%,,,,,,,12 ,"12,000 ","78,000 ",너클 숙련도+40% 명중+12,,12,"1,200,000,000 ","7,800,000,000",크리티컬 확률의 32% 만큼 크리티컬 데미지 증가,,12 ,"120,000,000,000 ","780,000,000,000 ",12%,6%,,12,"1,200,000,000,000 ","7,800,000,000,000 ",15,115,120
,,,,,13 ,7 ,49 ,경험치+13%,,,,,,,13 ,"1,820 ","8,519 ",sp+13,,13 ,207 ,"1,333 ",장비lv-65,,13 ,"13,000 ","91,000 ","크확+7% ,데미지+23%",,13 ,"13,000 ","91,000 ",데미지+149%,,13 ,"650,000 ","4,550,000 ",데미지+56%,,13 ,420 ,"2,166 ",환생포인트+130%,,,,,,,,,,,,,,,,,13 ,"3,000,000 ","23,400,000 ",최종올스탯+13%,,13 ,"13,000 ","91,000 ","활,석궁 숙련도+45% 명중+13",,,13 ,"130,000,000 ","910,000,000 ",최종뎀 113%,,,,,,,13 ,"13,000 ","91,000 ",너클 숙련도+45% 명중+13,,13,"1,300,000,000 ","9,100,000,000",크리티컬 확률의 33% 만큼 크리티컬 데미지 증가,,13 ,"130,000,000,000 ","910,000,000,000 ",13%,7%,,13,"1,300,000,000,000 ","9,100,000,000,000 ",15,120,115
,,,,,14 ,7 ,56 ,경험치+14%,,,,,,,14 ,"2,120 ","10,639 ",sp+14,,14 ,232 ,"1,565 ",장비lv-70,,14 ,"14,000 ","105,000 ","크확+7% ,데미지+24%",,14 ,"14,000 ","105,000 ",데미지+152%,,14 ,"700,000 ","5,250,000 ",데미지+58%,,14 ,485 ,"2,651 ",환생포인트+140%,,,,,,,,,,,,,,,,,14 ,"3,200,000 ","26,600,000 ",최종올스탯+14%,,14 ,"14,000 ","105,000 ","활,석궁 숙련도+45% 명중+14",,,14 ,"140,000,000 ","1,050,000,000 ",최종뎀 114%,,,,,,,14 ,"14,000 ","105,000 ",너클 숙련도+45% 명중+14,,14,"1,400,000,000 ","10,500,000,000",크리티컬 확률의 34% 만큼 크리티컬 데미지 증가,,14 ,"140,000,000,000 ","1,050,000,000,000 ",14%,7%,,14,"1,400,000,000,000 ","10,500,000,000,000 ",15,125,110
,,,,,15 ,8 ,64 ,경험치+15%,,,,,,,15 ,"2,440 ","13,079 ",sp+15,,15 ,260 ,"1,825 ",장비lv-75,,15 ,"15,000 ","120,000 ","크확+8% ,데미지+25%",,15 ,"15,000 ","120,000 ",데미지+155%,,15 ,"750,000 ","6,000,000 ",데미지+60%,,15 ,555 ,"3,206 ",환생포인트+150%,,,,,,,,,,,,,,,,,15 ,"3,400,000 ","30,000,000 ",최종올스탯+15%,,15 ,"15,000 ","120,000 ","활,석궁 숙련도+50% 명중+15",,,15 ,"150,000,000 ","1,200,000,000 ",최종뎀 115%,,,,,,,15 ,"15,000 ","120,000 ",너클 숙련도+50% 명중+15,,15,"1,500,000,000 ","12,000,000,000",크리티컬 확률의 35% 만큼 크리티컬 데미지 증가,,15 ,"150,000,000,000 ","1,200,000,000,000 ",15%,8%,,15,"1,500,000,000,000 ","12,000,000,000,000 ",15,130,105
,,,,,16 ,8 ,72 ,경험치+16%,,,,,,,16 ,"2,780 ","15,859 ",sp+16,,16 ,290 ,"2,115 ",장비lv-80,,16 ,"16,000 ","136,000 ","크확+8% ,데미지+26%",,16 ,"16,000 ","136,000 ",데미지+158%,,16 ,"800,000 ","6,800,000 ",데미지+62%,,16 ,630 ,"3,836 ",환생포인트+160%,,,,,,,,,,,,,,,,,16 ,"10,000,000 ","40,000,000 ",최종올스탯+16%,,16 ,"16,000 ","136,000 ","활,석궁 숙련도+50% 명중+16",,,16 ,"160,000,000 ","1,360,000,000 ",최종뎀 116%,,,,,,,16 ,"16,000 ","136,000 ",너클 숙련도+50% 명중+16,,16,"1,600,000,000 ","13,600,000,000",크리티컬 확률의 36% 만큼 크리티컬 데미지 증가,,16 ,"160,000,000,000 ","1,360,000,000,000 ",16%,8%,,16,"1,600,000,000,000 ","13,600,000,000,000 ",15,135,100
,,,,,17 ,9 ,81 ,경험치+17%,,,,,,,17 ,"3,140 ","18,999 ",sp+17,,17 ,323 ,"2,438 ",장비lv-85,,17 ,"17,000 ","153,000 ","크확+9% ,데미지+27%",,17 ,"17,000 ","153,000 ",데미지+161%,,17 ,"850,000 ","7,650,000 ",데미지+64%,,17 ,710 ,"4,546 ",환생포인트+170%,,,,,,,,,,,,,,,,,17 ,"20,000,000 ","60,000,000 ",최종올스탯+17%,,17 ,"17,000 ","153,000 ","활,석궁 숙련도+55% 명중+17",,,17 ,"170,000,000 ","1,530,000,000 ",최종뎀 117%,,,,,,,17 ,"17,000 ","153,000 ",너클 숙련도+55% 명중+17,,17,"1,700,000,000 ","15,300,000,000",크리티컬 확률의 37% 만큼 크리티컬 데미지 증가,,17 ,"170,000,000,000 ","1,530,000,000,000 ",17%,9%,,17,"1,700,000,000,000 ","15,300,000,000,000 ",15,140,95
,,,,,18 ,9 ,90 ,경험치+18%,,,,,,,18 ,"3,520 ","22,519 ",sp+18,,18 ,358 ,"2,796 ",장비lv-90,,18 ,"18,000 ","171,000 ","크확+9% ,데미지+28%",,18 ,"18,000 ","171,000 ",데미지+164%,,18 ,"900,000 ","8,550,000 ",데미지+66%,,18 ,795 ,"5,341 ",환생포인트+180%,,,,,,,,,,,,,,,,,18 ,"30,000,000 ","90,000,000 ",최종올스탯+18%,,18 ,"18,000 ","171,000 ","활,석궁 숙련도+55% 명중+18",,,18 ,"180,000,000 ","1,710,000,000 ",최종뎀 118%,,,,,,,18 ,"18,000 ","171,000 ",너클 숙련도+55% 명중+18,,18,"1,800,000,000 ","17,100,000,000",크리티컬 확률의 38% 만큼 크리티컬 데미지 증가,,18 ,"180,000,000,000 ","1,710,000,000,000 ",18%,9%,,18,"1,800,000,000,000 ","17,100,000,000,000 ",15,145,90
,,,,,19 ,10 ,100 ,경험치+19%,,,,,,,19 ,"3,920 ","26,439 ",sp+19,,19 ,396 ,"3,192 ",장비lv-95,,19 ,"19,000 ","190,000 ","크확+10% ,데미지+29%",,19 ,"19,000 ","190,000 ",데미지+167%,,19 ,"950,000 ","9,500,000 ",데미지+68%,,19 ,885 ,"6,226 ",환생포인트+190%,,,,,,,,,,,,,,,,,19 ,"40,000,000 ","130,000,000 ",최종올스탯+19%,,19 ,"19,000 ","190,000 ","활,석궁 숙련도+60% 명중+19",,,19 ,"190,000,000 ","1,900,000,000 ",최종뎀 119%,,,,,,,19 ,"19,000 ","190,000 ",너클 숙련도+60% 명중+19,,19,"1,900,000,000 ","19,000,000,000",크리티컬 확률의 39% 만큼 크리티컬 데미지 증가,,19 ,"190,000,000,000 ","1,900,000,000,000 ",19%,10%,,19,"1,900,000,000,000 ","19,000,000,000,000 ",15,150,85
,,,,,20 ,10 ,110 ,경험치+20%,,,,,,,20 ,"4,340 ","30,779 ",sp+20,,20 ,437 ,"3,629 ",장비lv-100,,20 ,"20,000 ","210,000 ","크확+10% ,데미지+30%",,20 ,"20,000 ","210,000 ",데미지+170%,,20 ,"1,000,000 ","10,500,000 ",데미지+70%,,20 ,980 ,"7,206 ",환생포인트+200%,,,,,,,,,,,,,,,,,20 ,"50,000,000 ","180,000,000 ",최종올스탯+20%,,20 ,"20,000 ","210,000 ","활,석궁 숙련도+60% 명중+20",,,20 ,"200,000,000 ","2,100,000,000 ",최종뎀 120%,,,,,,,20 ,"20,000 ","210,000 ",너클 숙련도+60% 명중+20,,20,"2,000,000,000 ","21,000,000,000",크리티컬 확률의 40% 만큼 크리티컬 데미지 증가,,20 ,"200,000,000,000 ","2,100,000,000,000 ",20%,10%,,20,"2,000,000,000,000 ","21,000,000,000,000 ",15,155,80
,,,,,21 ,11 ,121 ,경험치+21%,,,,,,,21 ,"4,780 ","35,559 ",sp+21,,21 ,481 ,"4,110 ",장비lv-105,,21 ,"21,000 ","231,000 ","크확+11% ,데미지+31%",,21 ,"21,000 ","231,000 ",데미지+173%,,21 ,"1,050,000 ","11,550,000 ",데미지+71%,,21 ,"1,080 ","8,286 ",환생포인트+210%,,,,,,,,,,,,,,,,,21 ,"100,000,000 ","280,000,000 ",최종올스탯+21%,,21 ,"10,000,000 ","10,210,000 ","활,석궁 숙련도+61% 명중+21",,,21 ,"210,000,000 ","2,310,000,000 ",최종뎀 121%,,,,,,,21 ,"10,000,000 ","10,210,000 ",너클 숙련도+61% 명중+21,,21,"2,100,000,000 ","23,100,000,000",크리티컬 확률의 41% 만큼 크리티컬 데미지 증가,,21 ,"210,000,000,000 ","2,310,000,000,000 ",21%,11%,,,,,,,
,,,,,22 ,11 ,132 ,경험치+22%,,,,,,,22 ,"5,240 ","40,799 ",sp+22,,22 ,528 ,"4,638 ",장비lv-110,,22 ,"22,000 ","253,000 ","크확+11% ,데미지+32%",,22 ,"22,000 ","253,000 ",데미지+176%,,22 ,"1,100,000 ","12,650,000 ",데미지+72%,,22 ,"1,180 ","9,466 ",환생포인트+220%,,,,,,,,,,,,,,,,,22 ,"200,000,000 ","480,000,000 ",최종올스탯+22%,,22 ,"20,000,000 ","30,210,000 ","활,석궁 숙련도+62% 명중+22",,,22 ,"220,000,000 ","2,530,000,000 ",최종뎀 122%,,,,,,,22 ,"20,000,000 ","30,210,000 ",너클 숙련도+62% 명중+22,,22,"2,200,000,000 ","25,300,000,000",크리티컬 확률의 42% 만큼 크리티컬 데미지 증가,,22 ,"220,000,000,000 ","2,530,000,000,000 ",22%,11%,,,,,,,
,,,,,23 ,12 ,144 ,경험치+23%,,,,,,,23 ,"5,720 ","46,519 ",sp+23,,23 ,579 ,"5,217 ",장비lv-115,,23 ,"23,000 ","276,000 ","크확+12% ,데미지+33%",,23 ,"23,000 ","276,000 ",데미지+179%,,23 ,"1,150,000 ","13,800,000 ",데미지+73%,,23 ,"1,280 ","10,746 ",환생포인트+230%,,,,,,,,,,,,,,,,,23 ,"300,000,000 ","780,000,000 ",최종올스탯+23%,,23 ,"30,000,000 ","60,210,000 ","활,석궁 숙련도+63% 명중+23",,,23 ,"230,000,000 ","2,760,000,000 ",최종뎀 123%,,,,,,,23 ,"30,000,000 ","60,210,000 ",너클 숙련도+63% 명중+23,,23,"2,300,000,000 ","27,600,000,000",크리티컬 확률의 43% 만큼 크리티컬 데미지 증가,,23 ,"230,000,000,000 ","2,760,000,000,000 ",23%,12%,,,,,,,
,,,,,24 ,12 ,156 ,경험치+24%,,,,,,,24 ,"6,220 ","52,739 ",sp+24,,24 ,634 ,"5,851 ",장비lv-120,,24 ,"24,000 ","300,000 ","크확+12% ,데미지+34%",,24 ,"24,000 ","300,000 ",데미지+182%,,24 ,"1,200,000 ","15,000,000 ",데미지+74%,,24 ,"1,380 ","12,126 ",환생포인트+240%,,,,,,,,,,,,,,,,,24 ,"400,000,000 ","1,180,000,000 ",최종올스탯+24%,,24 ,"40,000,000 ","100,210,000 ","활,석궁 숙련도+64% 명중+24",,,24 ,"240,000,000 ","3,000,000,000 ",최종뎀 124%,,,,,,,24 ,"40,000,000 ","100,210,000 ",너클 숙련도+64% 명중+24,,24,"2,400,000,000 ","30,000,000,000",크리티컬 확률의 44% 만큼 크리티컬 데미지 증가,,24 ,"240,000,000,000 ","3,000,000,000,000 ",24%,12%,,,,,,,
,,,,,25 ,13 ,169 ,경험치+25%,,,,,,,25 ,"6,740 ","59,479 ",sp+25,,,,,,,25 ,"25,000 ","325,000 ","크확+13% ,데미지+35%",,25 ,"25,000 ","325,000 ",데미지+185%,,25 ,"1,250,000 ","16,250,000 ",데미지+75%,,25 ,"1,480 ","13,606 ",환생포인트+250%,,,,,,,,,,,,,,,,,25 ,"500,000,000 ","1,680,000,000 ",최종올스탯+25%,,25 ,"50,000,000 ","150,210,000 ","활,석궁 숙련도+65% 명중+25",,,25 ,"250,000,000 ","3,250,000,000 ",최종뎀 125%,,,,,,,25 ,"50,000,000 ","150,210,000 ",너클 숙련도+65% 명중+25,,25,"2,500,000,000 ","32,500,000,000",크리티컬 확률의 45% 만큼 크리티컬 데미지 증가,,25 ,"250,000,000,000 ","3,250,000,000,000 ",25%,13%,,,,,,,
,,,,,26 ,13 ,182 ,경험치+26%,,,,,,,26 ,"7,280 ","66,759 ",sp+26,,,,,,,26 ,"26,000 ","351,000 ","크확+13% ,데미지+36%",,26 ,"26,000 ","351,000 ",데미지+188%,,26 ,"1,300,000 ","17,550,000 ",데미지+76%,,26 ,"1,580 ","15,186 ",환생포인트+260%,,,,,,,,,,,,,,,,,26 ,"1,000,000,000 ","2,680,000,000 ",최종올스탯+26%,,,,,,,,26 ,"260,000,000 ","3,510,000,000 ",최종뎀 126%,,,,,,,,,,,,26,"2,600,000,000 ","35,100,000,000",크리티컬 확률의 46% 만큼 크리티컬 데미지 증가,,26 ,"260,000,000,000 ","3,510,000,000,000 ",26%,13%,,,,,,,
,,,,,27 ,14 ,196 ,경험치+27%,,,,,,,27 ,"7,840 ","74,599 ",sp+27,,,,,,,27 ,"27,000 ","378,000 ","크확+14% ,데미지+37%",,27 ,"27,000 ","378,000 ",데미지+191%,,27 ,"1,350,000 ","18,900,000 ",데미지+77%,,27 ,"1,680 ","16,866 ",환생포인트+270%,,,,,,,,,,,,,,,,,27 ,"2,000,000,000","4,680,000,000 ",최종올스탯+27%,,,,,,,,27 ,"270,000,000 ","3,780,000,000 ",최종뎀 127%,,,,,,,,,,,,27,"2,700,000,000 ","37,800,000,000",크리티컬 확률의 47% 만큼 크리티컬 데미지 증가,,27 ,"270,000,000,000 ","3,780,000,000,000 ",27%,14%,,,,,,,
