파워스트라이크,LV,비용,성능,,슬래시 블러스트,LV,비용,성능,,드래곤버스터,LV,비용,성능,,드래곤 로어,LV,비용,성능,,브랜디쉬,LV,비용,성능,,무기마스터리,LV,비용,성능,성능,,크리티컬샷,LV,비용,성능,성능,,분노,LV,비용,성능,성능,,홀리심볼,LV,비용,성능,,메소업,LV,비용,성능,,피지컬 트레이닝,LV,비용,성능,,블레스,LV,비용,성능,,메디테이션,LV,비용,성능,,드래곤 블러드,LV,비용,성능,성능,,콤보 어택,LV,비용,성능,,크리티컬 스로우,LV,비용,성능,성능,,엘리멘트 엠플리피케이션,LV,비용,성능,,비홀더스버프,LV,비용,성능,성능,성능
파워스트라이크,14,1,230%,,슬래시 블러스트,14,1,111%,,드래곤버스터,14,1,116%,,드래곤 로어,14,1,170%,,브랜디쉬,14,1,196%,,무기마스터리,14,1,명중률+14,숙련도 +45%,,크리티컬샷,14,1,크리티컬확률 34%,크리티컬 데미지 170%,,분노,14,1,물리공격력 +7,마법공격력 +37%,,홀리심볼,14,1,경험치 +128%,,메소업,14,1,메소획득 +38%,,피지컬 트레이닝,14,1,올스텟+14,,블레스,14,2,명중률+14,,메디테이션,14,1,마력+14,,드래곤 블러드,14,70,공격력 +9,마력 +18,,콤보 어택,14,2,최종데미지 +124%,,크리티컬 스로우,14,70,크리티컬 확률 +34%,크리티컬 데미지 +152%,,엘리멘트 엠플리피케이션,14,70,마공+18%,,,,,,,
파워스트라이크,15,1,235%,,슬래시 블러스트,15,1,114%,,드래곤버스터,15,1,120%,,드래곤 로어,15,1,175%,,브랜디쉬,15,1,200%,,무기마스터리,15,1,명중률+15,숙련도 +50%,,크리티컬샷,15,1,크리티컬확률 35%,크리티컬 데미지 175%,,분노,15,1,물리공격력 +8,마법공격력 +39%,,홀리심볼,15,1,경험치 +130%,,메소업,15,1,메소획득 +40%,,피지컬 트레이닝,15,1,올스텟+15,,블레스,15,2,명중률+15,,메디테이션,15,1,마력+15,,드래곤 블러드,15,75,공격력 +9,마력 +18,,콤보 어택,15,2,최종데미지 +125%,,크리티컬 스로우,15,75,크리티컬 확률 +35%,크리티컬 데미지 +155%,,엘리멘트 엠플리피케이션,15,75,마공+19%,,,,,,,
파워스트라이크,16,1,240%,,슬래시 블러스트,16,1,117%,,드래곤버스터,16,1,124%,,드래곤 로어,16,1,180%,,브랜디쉬,16,1,204%,,무기마스터리,16,1,명중률+16,숙련도 +50%,,크리티컬샷,16,1,크리티컬확률 36%,크리티컬 데미지 180%,,분노,16,1,물리공격력 +8,마법공격력 +41%,,홀리심볼,16,1,경험치 +132%,,메소업,16,1,메소획득 +42%,,피지컬 트레이닝,16,1,올스텟+16,,블레스,16,2,명중률+16,,메디테이션,16,1,마력+16,,드래곤 블러드,16,80,공격력 +10,마력 +20,,콤보 어택,16,2,최종데미지 +126%,,크리티컬 스로우,16,80,크리티컬 확률 +36%,크리티컬 데미지 +158%,,엘리멘트 엠플리피케이션,16,80,마공+20%,,,,,,,
파워스트라이크,17,1,245%,,슬래시 블러스트,17,1,120%,,드래곤버스터,17,1,128%,,드래곤 로어,17,1,185%,,브랜디쉬,17,1,208%,,무기마스터리,17,1,명중률+17,숙련도 +55%,,크리티컬샷,17,1,크리티컬확률 37%,크리티컬 데미지 185%,,분노,17,1,물리공격력 +9,마법공격력 +43%,,홀리심볼,17,1,경험치 +134%,,메소업,17,1,메소획득 +44%,,피지컬 트레이닝,17,1,올스텟+17,,블레스,17,2,명중률+17,,메디테이션,17,1,마력+17,,드래곤 블러드,17,85,공격력 +10,마력 +20,,콤보 어택,17,2,최종데미지 +127%,,크리티컬 스로우,17,85,크리티컬 확률 +37%,크리티컬 데미지 +161%,,엘리멘트 엠플리피케이션,17,85,마공+22%,,,,,,,
파워스트라이크,18,1,250%,,슬래시 블러스트,18,1,123%,,드래곤버스터,18,1,132%,,드래곤 로어,18,1,190%,,브랜디쉬,18,1,212%,,무기마스터리,18,1,명중률+18,숙련도 +55%,,크리티컬샷,18,1,크리티컬확률 38%,크리티컬 데미지 190%,,분노,18,1,물리공격력 +9,마법공격력 +45%,,홀리심볼,18,1,경험치 +136%,,메소업,18,1,메소획득 +46%,,피지컬 트레이닝,18,1,올스텟+18,,블레스,18,2,명중률+18,,메디테이션,18,1,마력+18,,드래곤 블러드,18,90,공격력 +11,마력 +21,,콤보 어택,18,2,최종데미지 +128%,,크리티컬 스로우,18,90,크리티컬 확률 +38%,크리티컬 데미지 +164%,,엘리멘트 엠플리피케이션,18,90,마공+23%,,,,,,,
파워스트라이크,19,1,255%,,슬래시 블러스트,19,1,126%,,드래곤버스터,19,1,136%,,드래곤 로어,19,1,195%,,브랜디쉬,19,1,216%,,무기마스터리,19,1,명중률+19,숙련도 +60%,,크리티컬샷,19,1,크리티컬확률 39%,크리티컬 데미지 195%,,분노,19,1,물리공격력 +10,마법공격력 +47%,,홀리심볼,19,1,경험치 +138%,,메소업,19,1,메소획득 +48%,,피지컬 트레이닝,19,1,올스텟+19,,블레스,19,2,명중률+19,,메디테이션,19,1,마력+19,,드래곤 블러드,19,95,공격력 +11,마력 +22,,콤보 어택,19,2,최종데미지 +129%,,크리티컬 스로우,19,95,크리티컬 확률 +39%,크리티컬 데미지 +167%,,엘리멘트 엠플리피케이션,19,95,마공+24%,,,,,,,
파워스트라이크,20,1,260%,,슬래시 블러스트,20,1,130%,,드래곤버스터,20,1,140%,,드래곤 로어,20,1,200%,,브랜디쉬,20,1,220%,,무기마스터리,20,1,명중률+20,숙련도 +60%,,크리티컬샷,20,1,크리티컬확률 40%,크리티컬 데미지 200%,,분노,20,1,물리공격력 +10,마법공격력 +50%,,홀리심볼,20,1,경험치 +140%,,메소업,20,1,메소획득 +50%,,피지컬 트레이닝,20,1,올스텟+20,,블레스,20,2,명중률+20,,메디테이션,20,1,마력+20,,드래곤 블러드,20,100,공격력 +12,마력 +24,,콤보 어택,20,2,최종데미지 +130%,,크리티컬 스로우,20,100,크리티컬 확률 +40%,크리티컬 데미지 +170%,,엘리멘트 엠플리피케이션,20,100,마공+25%,,,,,,,
,,,,,,,,,,드래곤버스터,21,1,143%,,드래곤 로어,21,1,204%,,브랜디쉬,21,1,224%,,무기마스터리,21,100,명중률+21,숙련도 +61%,,크리티컬샷,21,100,크리티컬확률 40%,크리티컬 데미지 205%,,분노,21,100,물리공격력 +11,마법공격력 +51%,,홀리심볼,21,1,경험치 +141%,,메소업,21,100,메소획득 +51%,,피지컬 트레이닝,21,1,올스텟+21,,블레스,21,100,명중률+21,,메디테이션,21,100,마력+21,,드래곤 블러드,21,100,공격력 +13,마력 +26,,콤보 어택,21,2,최종데미지 +131%,,크리티컬 스로우,21,105,크리티컬 확률 +41%,크리티컬 데미지 +172%,,엘리멘트 엠플리피케이션,21,105,마공+26%,,,,,,,
,,,,,,,,,,드래곤버스터,22,1,146%,,드래곤 로어,22,1,208%,,브랜디쉬,22,1,228%,,무기마스터리,22,200,명중률+22,숙련도 +62%,,크리티컬샷,22,200,크리티컬확률 40%,크리티컬 데미지 210%,,분노,22,200,물리공격력 +12,마법공격력 +52%,,홀리심볼,22,1,경험치 +142%,,메소업,22,200,메소획득 +52%,,피지컬 트레이닝,22,1,올스텟+22,,블레스,22,200,명중률+22,,메디테이션,22,200,마력+22,,드래곤 블러드,22,200,공격력 +14,마력 +28,,콤보 어택,22,2,최종데미지 +132%,,크리티컬 스로우,22,110,크리티컬 확률 +42%,크리티컬 데미지 +176%,,엘리멘트 엠플리피케이션,22,110,마공+27%,,,,,,,
,,,,,,,,,,드래곤버스터,23,1,149%,,드래곤 로어,23,1,212%,,브랜디쉬,23,1,232%,,무기마스터리,23,300,명중률+23,숙련도 +63%,,크리티컬샷,23,300,크리티컬확률 40%,크리티컬 데미지 215%,,분노,23,300,물리공격력 +13,마법공격력 +53%,,홀리심볼,23,1,경험치 +143%,,메소업,23,300,메소획득 +53%,,피지컬 트레이닝,23,1,올스텟+23,,블레스,23,300,명중률+23,,메디테이션,23,300,마력+23,,드래곤 블러드,23,300,공격력 +15,마력 +30,,콤보 어택,23,2,최종데미지 +133%,,크리티컬 스로우,23,115,크리티컬 확률 +43%,크리티컬 데미지 +179%,,엘리멘트 엠플리피케이션,23,115,마공+28%,,,,,,,
,,,,,,,,,,드래곤버스터,24,1,152%,,드래곤 로어,24,1,216%,,브랜디쉬,24,1,236%,,무기마스터리,24,400,명중률+24,숙련도 +64%,,크리티컬샷,24,400,크리티컬확률 40%,크리티컬 데미지 220%,,분노,24,400,물리공격력 +14,마법공격력 +54%,,홀리심볼,24,1,경험치 +144%,,메소업,24,400,메소획득 +54%,,피지컬 트레이닝,24,1,올스텟+24,,블레스,24,400,명중률+24,,메디테이션,24,400,마력+24,,드래곤 블러드,24,400,공격력 +16,마력 +32,,콤보 어택,24,2,최종데미지 +134%,,크리티컬 스로우,24,120,크리티컬 확률 +44%,크리티컬 데미지 +182%,,엘리멘트 엠플리피케이션,24,120,마공+29%,,,,,,,
,,,,,,,,,,드래곤버스터,25,1,155%,,드래곤 로어,25,1,220%,,브랜디쉬,25,1,240%,,무기마스터리,25,500,명중률+25,숙련도 +65%,,크리티컬샷,25,500,크리티컬확률 40%,크리티컬 데미지 225%,,분노,25,500,물리공격력 +15,마법공격력 +55%,,홀리심볼,25,1,경험치 +145%,,메소업,25,500,메소획득 +55%,,피지컬 트레이닝,25,1,올스텟+25,,블레스,25,500,명중률+25,,메디테이션,25,500,마력+25,,드래곤 블러드,25,500,공격력 +17,마력 +34,,콤보 어택,25,2,최종데미지 +135%,,크리티컬 스로우,25,125,크리티컬 확률 +45%,크리티컬 데미지 +185%,,엘리멘트 엠플리피케이션,25,125,마공+30%,,,,,,,
,,,,,,,,,,드래곤버스터,26,1,158%,,드래곤 로어,26,1,224%,,브랜디쉬,26,1,244%,,,,,,,,크리티컬샷,26,600,크리티컬확률 40%,크리티컬 데미지 230%,,분노,26,600,물리공격력 +16,마법공격력 +56%,,홀리심볼,26,1,경험치 +146%,,메소업,26,600,메소획득 +56%,,피지컬 트레이닝,26,1,올스텟+26,,블레스,26,600,명중률+26,,메디테이션,26,600,마력+26,,드래곤 블러드,26,600,공격력 +18,마력 +36,,콤보 어택,26,2,최종데미지 +136%,,크리티컬 스로우,26,130,크리티컬 확률 +46%,크리티컬 데미지 +188%,,엘리멘트 엠플리피케이션,26,130,마공+31%,,,,,,,
,,,,,,,,,,드래곤버스터,27,1,161%,,드래곤 로어,27,1,228%,,브랜디쉬,27,1,248%,,,,,,,,크리티컬샷,27,700,크리티컬확률 40%,크리티컬 데미지 235%,,분노,27,700,물리공격력 +17,마법공격력 +57%,,홀리심볼,27,1,경험치 +147%,,메소업,27,700,메소획득 +57%,,피지컬 트레이닝,27,1,올스텟+27,,블레스,27,700,명중률+27,,메디테이션,27,700,마력+27,,드래곤 블러드,27,700,공격력 +19,마력 +38,,콤보 어택,27,2,최종데미지 +137%,,크리티컬 스로우,27,135,크리티컬 확률 +47%,크리티컬 데미지 +191%,,엘리멘트 엠플리피케이션,27,135,마공+32%,,,,,,,
,,,,,,,,,,드래곤버스터,28,1,164%,,드래곤 로어,28,1,232%,,브랜디쉬,28,1,252%,,,,,,,,크리티컬샷,28,800,크리티컬확률 40%,크리티컬 데미지 240%,,분노,28,800,물리공격력 +18,마법공격력 +58%,,홀리심볼,28,1,경험치 +148%,,메소업,28,800,메소획득 +58%,,피지컬 트레이닝,28,1,올스텟+28,,블레스,28,800,명중률+28,,메디테이션,28,800,마력+28,,드래곤 블러드,28,800,공격력 +20,마력 +40,,콤보 어택,28,2,최종데미지 +138%,,크리티컬 스로우,28,140,크리티컬 확률 +48%,크리티컬 데미지 +194%,,엘리멘트 엠플리피케이션,28,140,마공+33%,,,,,,,
,,,,,,,,,,드래곤버스터,29,1,167%,,드래곤 로어,29,1,236%,,브랜디쉬,29,1,256%,,,,,,,,크리티컬샷,29,900,크리티컬확률 40%,크리티컬 데미지 245%,,분노,29,900,물리공격력 +19,마법공격력 +59%,,홀리심볼,29,1,경험치 +149%,,메소업,29,900,메소획득 +59%,,피지컬 트레이닝,29,1,올스텟+29,,블레스,29,900,명중률+29,,메디테이션,29,900,마력+29,,드래곤 블러드,29,900,공격력 +21,마력 +42,,콤보 어택,29,2,최종데미지 +139%,,크리티컬 스로우,29,145,크리티컬 확률 +49%,크리티컬 데미지 +197%,,엘리멘트 엠플리피케이션,29,145,마공+34%,,,,,,,
,,,,,,,,,,드래곤버스터,30,1,170%,,드래곤 로어,30,1,240%,,브랜디쉬,30,1,260%,,,,,,,,크리티컬샷,30,1000,크리티컬확률 40%,크리티컬 데미지 250%,,분노,30,1000,물리공격력 +20,마법공격력 +60%,,홀리심볼,30,1,경험치 +150%,,메소업,30,1000,메소획득 +60%,,피지컬 트레이닝,30,1,올스텟+30,,블레스,30,1000,명중률+30,,메디테이션,30,1000,마력+30,,드래곤 블러드,30,1000,공격력 +22,마력 +44,,콤보 어택,30,2,최종데미지 +140%,,크리티컬 스로우,30,150,크리티컬 확률 +50%,크리티컬 데미지 +200%,,엘리멘트 엠플리피케이션,30,150,마공+35%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,크리티컬샷,31,1500,크리티컬확률 40%,크리티컬 데미지 255%,,분노,31,1500,물리공격력 +21,마법공격력 +61%,,홀리심볼,31,100,경험치 +151%,,메소업,31,1500,메소획득 +61%,,피지컬 트레이닝,31,100,올스텟+31,,블레스,31,1500,명중률+31,,메디테이션,31,1500,마력+31,,드래곤 블러드,31,1500,공격력 +23,마력 +46,,콤보 어택,31,100,최종데미지 +141%,,크리티컬 스로우,31,200,크리티컬 확률 +50%,크리티컬 데미지 +203%,,엘리멘트 엠플리피케이션,31,200,마공+36%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,크리티컬샷,32,2000,크리티컬확률 40%,크리티컬 데미지 260%,,분노,32,2000,물리공격력 +22,마법공격력 +62%,,홀리심볼,32,200,경험치 +152%,,메소업,32,2000,메소획득 +62%,,피지컬 트레이닝,32,200,올스텟+32,,블레스,32,2000,명중률+32,,메디테이션,32,2000,마력+32,,드래곤 블러드,32,2000,공격력 +24,마력 +48,,콤보 어택,32,200,최종데미지 +142%,,크리티컬 스로우,32,300,크리티컬 확률 +50%,크리티컬 데미지 +206%,,엘리멘트 엠플리피케이션,32,300,마공+37%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,크리티컬샷,33,2500,크리티컬확률 40%,크리티컬 데미지 265%,,분노,33,2500,물리공격력 +23,마법공격력 +63%,,홀리심볼,33,300,경험치 +153%,,메소업,33,2500,메소획득 +63%,,피지컬 트레이닝,33,300,올스텟+33,,블레스,33,2500,명중률+33,,메디테이션,33,2500,마력+33,,드래곤 블러드,33,2500,공격력 +25,마력 +50,,콤보 어택,33,300,최종데미지 +143%,,크리티컬 스로우,33,400,크리티컬 확률 +50%,크리티컬 데미지 +209%,,엘리멘트 엠플리피케이션,33,400,마공+38%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,크리티컬샷,34,3000,크리티컬확률 40%,크리티컬 데미지 270%,,분노,34,3000,물리공격력 +24,마법공격력 +64%,,홀리심볼,34,400,경험치 +154%,,메소업,34,3000,메소획득 +64%,,피지컬 트레이닝,34,400,올스텟+34,,블레스,34,3000,명중률+34,,메디테이션,34,3000,마력+34,,드래곤 블러드,34,3000,공격력 +26,마력 +52,,콤보 어택,34,400,최종데미지 +144%,,크리티컬 스로우,34,500,크리티컬 확률 +50%,크리티컬 데미지 +212%,,엘리멘트 엠플리피케이션,34,500,마공+39%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,크리티컬샷,35,3500,크리티컬확률 40%,크리티컬 데미지 275%,,분노,35,3500,물리공격력 +25,마법공격력 +65%,,홀리심볼,35,500,경험치 +155%,,메소업,35,3500,메소획득 +65%,,피지컬 트레이닝,35,500,올스텟+35,,블레스,35,3500,명중률+35,,메디테이션,35,3500,마력+35,,드래곤 블러드,35,3500,공격력 +27,마력 +54,,콤보 어택,35,500,최종데미지 +145%,,크리티컬 스로우,35,600,크리티컬 확률 +50%,크리티컬 데미지 +215%,,엘리멘트 엠플리피케이션,35,600,마공+40%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,홀리심볼,36,600,경험치 +156%,,,,,,,피지컬 트레이닝,36,600,올스텟+36,,,,,,,,,,,,,,,,,,콤보 어택,36,600,최종데미지 +146%,,크리티컬 스로우,36,700,크리티컬 확률 +50%,크리티컬 데미지 +218%,,엘리멘트 엠플리피케이션,36,700,마공+41%,,,,,,,
