세가지 보석,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,전설의 뿔피리,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,황금 인장 반지,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,화염 부적,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,아누비스의 가면,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,잊혀진 기억 로켓,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,요정의 목걸이,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,결의의 증표,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,고룡의 비늘,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,어둠에 물든 구슬,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,시간의 모래시계,레벨,효과,다음 레벨 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,10,올스텟 +10,3,15,💎 220,630,,,10,최대 레벨 10 증가,31,129,💎 460,990,,,10,환생 포인트 획득량 10% 증가,15,71,💎 380,870,,,10,최종 STR 10% 증가,20,91,💎 340,810,,,10,최종 DEX 10% 증가,20,91,💎 340,810,,,10,최종 INT 10% 증가,20,91,💎 340,810,,,10,최종 LUK 10% 증가,20,91,💎 340,810,,,10,최종 공격력 10% 증가,28,125,💎 380,870,,,10,최종 크리티컬 데미지 10% 증가,36,164,💎 420,930,,,10,이세계의 재화 2배 획득 확률 5% 증가,62,280,💎 460,990,,,10,레벨업 필요 EXP 100% 증가 환생 시 RP 획득량 100% 증가 (시간 대비 RP 효율 동일),223,934,💎 200,"3,850"
,11,올스텟 +11,3,18,-,630,,,11,최대 레벨 11 증가,37,160,-,990,,,11,환생 포인트 획득량 11% 증가,17,86,-,870,,,11,최종 STR 11% 증가,22,111,-,810,,,11,최종 DEX 11% 증가,22,111,-,810,,,11,최종 INT 11% 증가,22,111,-,810,,,11,최종 LUK 11% 증가,22,111,-,810,,,11,최종 공격력 11% 증가,31,153,-,870,,,11,최종 크리티컬 데미지 11% 증가,40,200,-,930,,,11,이세계의 재화 2배 획득 확률 5.5% 증가,69,342,-,990,,,11,레벨업 필요 EXP 110% 증가 환생 시 RP 획득량 110% 증가 (시간 대비 RP 효율 동일),268,"1,157",,"4,500"
,12,올스텟 +12,3,21,-,630,,,12,최대 레벨 12 증가,41,197,-,990,,,12,환생 포인트 획득량 12% 증가,18,103,-,870,,,12,최종 STR 12% 증가,24,133,-,810,,,12,최종 DEX 12% 증가,24,133,-,810,,,12,최종 INT 12% 증가,24,133,-,810,,,12,최종 LUK 12% 증가,24,133,-,810,,,12,최종 공격력 12% 증가,34,184,-,870,,,12,최종 크리티컬 데미지 12% 증가,43,240,-,930,,,12,이세계의 재화 2배 획득 확률 6% 증가,76,411,-,990,,,12,레벨업 필요 EXP 120% 증가 환생 시 RP 획득량 120% 증가 (시간 대비 RP 효율 동일),321,"1,425",,"5,200"
,13,올스텟 +13,3,24,-,630,,,13,최대 레벨 13 증가,43,238,-,990,,,13,환생 포인트 획득량 13% 증가,20,121,-,870,,,13,최종 STR 13% 증가,27,157,-,810,,,13,최종 DEX 13% 증가,27,157,-,810,,,13,최종 INT 13% 증가,27,157,-,810,,,13,최종 LUK 13% 증가,27,157,-,810,,,13,최종 공격력 13% 증가,37,218,-,870,,,13,최종 크리티컬 데미지 13% 증가,47,283,-,930,,,13,이세계의 재화 2배 획득 확률 6.5% 증가,83,487,-,990,,,13,레벨업 필요 EXP 130% 증가 환생 시 RP 획득량 130% 증가 (시간 대비 RP 효율 동일),386,"1,746",,"5,950"
,14,올스텟 +14,3,27,-,630,,,14,최대 레벨 14 증가,47,281,-,990,,,14,환생 포인트 획득량 14% 증가,22,141,-,870,,,14,최종 STR 14% 증가,29,184,-,810,,,14,최종 DEX 14% 증가,29,184,-,810,,,14,최종 INT 14% 증가,29,184,-,810,,,14,최종 LUK 14% 증가,29,184,-,810,,,14,최종 공격력 14% 증가,40,255,-,870,,,14,최종 크리티컬 데미지 14% 증가,51,330,-,930,,,14,이세계의 재화 2배 획득 확률 7% 증가,90,570,-,990,,,14,레벨업 필요 EXP 140% 증가 환생 시 RP 획득량 140% 증가 (시간 대비 RP 효율 동일),463,"2,132",,"6,750"
,15,올스텟 +15,4,30,💎 230,860,,,15,최대 레벨 15 증가,53,328,💎 590,"1,580",,,15,환생 포인트 획득량 15% 증가,23,163,💎 470,"1,340",,,15,최종 STR 15% 증가,31,213,💎 410,"1,220",,,15,최종 DEX 15% 증가,31,213,💎 410,"1,220",,,15,최종 INT 15% 증가,31,213,💎 410,"1,220",,,15,최종 LUK 15% 증가,31,213,💎 410,"1,220",,,15,최종 공격력 15% 증가,43,295,💎 470,"1,340",,,15,최종 크리티컬 데미지 15% 증가,55,381,💎 530,"1,460",,,15,이세계의 재화 2배 획득 확률 7.5% 증가,97,660,💎 590,"1,580",,,15,레벨업 필요 EXP 150% 증가 환생 시 RP 획득량 150% 증가 (시간 대비 RP 효율 동일),555,"2,595",💎 250,"7,600"
,16,올스텟 +16,4,34,-,860,,,16,최대 레벨 16 증가,59,381,-,"1,580",,,16,환생 포인트 획득량 16% 증가,25,186,-,"1,340",,,16,최종 STR 16% 증가,34,244,-,"1,220",,,16,최종 DEX 16% 증가,34,244,-,"1,220",,,16,최종 INT 16% 증가,34,244,-,"1,220",,,16,최종 LUK 16% 증가,34,244,-,"1,220",,,16,최종 공격력 16% 증가,46,338,-,"1,340",,,16,최종 크리티컬 데미지 16% 증가,59,436,-,"1,460",,,16,이세계의 재화 2배 획득 확률 8% 증가,104,757,-,"1,580",,,16,레벨업 필요 EXP 160% 증가 환생 시 RP 획득량 160% 증가 (시간 대비 RP 효율 동일),666,"3,150",,"8,500"
,17,올스텟 +17,4,38,-,860,,,17,최대 레벨 17 증가,61,440,-,"1,580",,,17,환생 포인트 획득량 17% 증가,27,211,-,"1,340",,,17,최종 STR 17% 증가,36,278,-,"1,220",,,17,최종 DEX 17% 증가,36,278,-,"1,220",,,17,최종 INT 17% 증가,36,278,-,"1,220",,,17,최종 LUK 17% 증가,36,278,-,"1,220",,,17,최종 공격력 17% 증가,50,384,-,"1,340",,,17,최종 크리티컬 데미지 17% 증가,63,495,-,"1,460",,,17,이세계의 재화 2배 획득 확률 8.5% 증가,111,861,-,"1,580",,,17,레벨업 필요 EXP 170% 증가 환생 시 RP 획득량 170% 증가 (시간 대비 RP 효율 동일),800,"3,816",,"9,450"
,18,올스텟 +18,4,42,-,860,,,18,최대 레벨 18 증가,67,501,-,"1,580",,,18,환생 포인트 획득량 18% 증가,28,238,-,"1,340",,,18,최종 STR 18% 증가,38,314,-,"1,220",,,18,최종 DEX 18% 증가,38,314,-,"1,220",,,18,최종 INT 18% 증가,38,314,-,"1,220",,,18,최종 LUK 18% 증가,38,314,-,"1,220",,,18,최종 공격력 18% 증가,53,434,-,"1,340",,,18,최종 크리티컬 데미지 18% 증가,67,558,-,"1,460",,,18,이세계의 재화 2배 획득 확률 9% 증가,118,972,-,"1,580",,,18,레벨업 필요 EXP 180% 증가 환생 시 RP 획득량 180% 증가 (시간 대비 RP 효율 동일),959,"4,616",,"10,450"
,19,올스텟 +19,4,46,-,860,,,19,최대 레벨 19 증가,71,568,-,"1,580",,,19,환생 포인트 획득량 19% 증가,30,266,-,"1,340",,,19,최종 STR 19% 증가,41,352,-,"1,220",,,19,최종 DEX 19% 증가,41,352,-,"1,220",,,19,최종 INT 19% 증가,41,352,-,"1,220",,,19,최종 LUK 19% 증가,41,352,-,"1,220",,,19,최종 공격력 19% 증가,56,487,-,"1,340",,,19,최종 크리티컬 데미지 19% 증가,71,625,-,"1,460",,,19,이세계의 재화 2배 획득 확률 9.5% 증가,126,"1,090",-,"1,580",,,19,레벨업 필요 EXP 190% 증가 환생 시 RP 획득량 190% 증가 (시간 대비 RP 효율 동일),"1,151","5,575",,"12,450"
,20,올스텟 +20,5,50,💎 240,"1,100",,,20,최대 레벨 20 증가,73,639,💎 720,"2,300",,,20,환생 포인트 획득량 20% 증가,32,296,💎 560,"1,900",,,20,최종 STR 20% 증가,43,393,💎 480,"1,700",,,20,최종 DEX 20% 증가,43,393,💎 480,"1,700",,,20,최종 INT 20% 증가,43,393,💎 480,"1,700",,,20,최종 LUK 20% 증가,43,393,💎 480,"1,700",,,20,최종 공격력 20% 증가,59,543,💎 560,"1,900",,,20,최종 크리티컬 데미지 20% 증가,75,696,💎 640,"2,100",,,20,이세계의 재화 2배 획득 확률 10% 증가,133,"1,216",💎 720,"2,300",,,20,레벨업 필요 EXP 200% 증가 환생 시 RP 획득량 200% 증가 (시간 대비 RP 효율 동일),-,"6,726",-,"12,450"
,21,올스텟 +21,5,55,-,"1,100",,,21,최대 레벨 21 증가,79,712,-,"2,300",,,21,환생 포인트 획득량 21% 증가,33,328,-,"1,900",,,21,최종 STR 21% 증가,45,436,-,"1,700",,,21,최종 DEX 21% 증가,45,436,-,"1,700",,,21,최종 INT 21% 증가,45,436,-,"1,700",,,21,최종 LUK 21% 증가,45,436,-,"1,700",,,21,최종 공격력 21% 증가,62,602,-,"1,900",,,21,최종 크리티컬 데미지 21% 증가,79,771,-,"2,100",,,21,이세계의 재화 2배 획득 확률 10.5% 증가,140,"1,349",-,"2,300",,,,,,,,
,22,올스텟 +22,5,60,-,"1,100",,,22,최대 레벨 22 증가,83,791,-,"2,300",,,22,환생 포인트 획득량 22% 증가,35,361,-,"1,900",,,22,최종 STR 22% 증가,48,481,-,"1,700",,,22,최종 DEX 22% 증가,48,481,-,"1,700",,,22,최종 INT 22% 증가,48,481,-,"1,700",,,22,최종 LUK 22% 증가,48,481,-,"1,700",,,22,최종 공격력 22% 증가,66,664,-,"1,900",,,22,최종 크리티컬 데미지 22% 증가,84,850,-,"2,100",,,22,이세계의 재화 2배 획득 확률 11% 증가,148,"1,489",-,"2,300",,,,,,,,
,23,올스텟 +23,5,65,-,"1,100",,,23,최대 레벨 23 증가,89,874,-,"2,300",,,23,환생 포인트 획득량 23% 증가,37,396,-,"1,900",,,23,최종 STR 23% 증가,50,529,-,"1,700",,,23,최종 DEX 23% 증가,50,529,-,"1,700",,,23,최종 INT 23% 증가,50,529,-,"1,700",,,23,최종 LUK 23% 증가,50,529,-,"1,700",,,23,최종 공격력 23% 증가,69,730,-,"1,900",,,23,최종 크리티컬 데미지 23% 증가,88,934,-,"2,100",,,23,이세계의 재화 2배 획득 확률 11.5% 증가,155,"1,637",-,"2,300",,,,,,,,
,24,올스텟 +24,5,70,-,"1,100",,,24,최대 레벨 24 증가,97,963,-,"2,300",,,24,환생 포인트 획득량 24% 증가,39,433,-,"1,900",,,24,최종 STR 24% 증가,53,579,-,"1,700",,,24,최종 DEX 24% 증가,53,579,-,"1,700",,,24,최종 INT 24% 증가,53,579,-,"1,700",,,24,최종 LUK 24% 증가,53,579,-,"1,700",,,24,최종 공격력 24% 증가,72,799,-,"1,900",,,24,최종 크리티컬 데미지 24% 증가,92,"1,022",-,"2,100",,,24,이세계의 재화 2배 획득 확률 12% 증가,163,"1,792",-,"2,300",,,,,,,,
,25,올스텟 +25,6,75,💎 250,"1,350",,,25,최대 레벨 25 증가,101,"1,060",💎 850,"3,150",,,25,환생 포인트 획득량 25% 증가,40,472,💎 650,"2,550",,,25,최종 STR 25% 증가,55,632,💎 550,"2,250",,,25,최종 DEX 25% 증가,55,632,💎 550,"2,250",,,25,최종 INT 25% 증가,55,632,💎 550,"2,250",,,25,최종 LUK 25% 증가,55,632,💎 550,"2,250",,,25,최종 공격력 25% 증가,76,871,💎 650,"2,550",,,25,최종 크리티컬 데미지 25% 증가,96,"1,114",💎 750,"2,850",,,25,이세계의 재화 2배 획득 확률 12.5% 증가,171,"1,955",💎 850,"3,150",,,,,,,,
,26,올스텟 +26,6,81,-,"1,350",,,26,최대 레벨 26 증가,103,"1,161",-,"3,150",,,26,환생 포인트 획득량 26% 증가,42,512,-,"2,550",,,26,최종 STR 26% 증가,58,687,-,"2,250",,,26,최종 DEX 26% 증가,58,687,-,"2,250",,,26,최종 INT 26% 증가,58,687,-,"2,250",,,26,최종 LUK 26% 증가,58,687,-,"2,250",,,26,최종 공격력 26% 증가,79,947,-,"2,550",,,26,최종 크리티컬 데미지 26% 증가,100,"1,210",-,"2,850",,,26,이세계의 재화 2배 획득 확률 13% 증가,178,"2,126",-,"3,150",,,,,,,,
,27,올스텟 +27,6,87,-,"1,350",,,27,최대 레벨 27 증가,107,"1,264",-,"3,150",,,27,환생 포인트 획득량 27% 증가,44,554,-,"2,550",,,27,최종 STR 27% 증가,60,745,-,"2,250",,,27,최종 DEX 27% 증가,60,745,-,"2,250",,,27,최종 INT 27% 증가,60,745,-,"2,250",,,27,최종 LUK 27% 증가,60,745,-,"2,250",,,27,최종 공격력 27% 증가,82,"1,026",-,"2,550",,,27,최종 크리티컬 데미지 27% 증가,105,"1,310",-,"2,850",,,27,이세계의 재화 2배 획득 확률 13.5% 증가,186,"2,304",-,"3,150",,,,,,,,
,28,올스텟 +28,6,93,-,"1,350",,,28,최대 레벨 28 증가,109,"1,371",-,"3,150",,,28,환생 포인트 획득량 28% 증가,46,598,-,"2,550",,,28,최종 STR 28% 증가,63,805,-,"2,250",,,28,최종 DEX 28% 증가,63,805,-,"2,250",,,28,최종 INT 28% 증가,63,805,-,"2,250",,,28,최종 LUK 28% 증가,63,805,-,"2,250",,,28,최종 공격력 28% 증가,86,"1,108",-,"2,550",,,28,최종 크리티컬 데미지 28% 증가,109,"1,415",-,"2,850",,,28,이세계의 재화 2배 획득 확률 14% 증가,194,"2,490",-,"3,150",,,,,,,,
,29,올스텟 +29,6,99,-,"1,350",,,29,최대 레벨 29 증가,113,"1,480",-,"3,150",,,29,환생 포인트 획득량 29% 증가,47,644,-,"2,550",,,29,최종 STR 29% 증가,65,868,-,"2,250",,,29,최종 DEX 29% 증가,65,868,-,"2,250",,,29,최종 INT 29% 증가,65,868,-,"2,250",,,29,최종 LUK 29% 증가,65,868,-,"2,250",,,29,최종 공격력 29% 증가,89,"1,194",-,"2,550",,,29,최종 크리티컬 데미지 29% 증가,113,"1,524",-,"2,850",,,29,이세계의 재화 2배 획득 확률 14.5% 증가,201,"2,684",-,"3,150",,,,,,,,
,30,올스텟 +30,7,105,💎 260,"1,610",,,30,최대 레벨 30 증가,127,"1,593",💎 980,"4,130",,,30,환생 포인트 획득량 30% 증가,49,691,💎 740,"3,290",,,30,최종 STR 30% 증가,68,933,💎 620,"2,870",,,30,최종 DEX 30% 증가,68,933,💎 620,"2,870",,,30,최종 INT 30% 증가,68,933,💎 620,"2,870",,,30,최종 LUK 30% 증가,68,933,💎 620,"2,870",,,30,최종 공격력 30% 증가,93,"1,283",💎 740,"3,290",,,30,최종 크리티컬 데미지 30% 증가,117,"1,637",💎 860,"3,710",,,30,이세계의 재화 2배 획득 확률 15% 증가,209,"2,885",💎 980,"4,130",,,,,,,,
,31,올스텟 +31,7,112,-,"1,610",,,31,최대 레벨 31 증가,131,"1,720",-,"4,130",,,31,환생 포인트 획득량 31% 증가,51,740,-,"3,290",,,31,최종 STR 31% 증가,70,"1,001",-,"2,870",,,31,최종 DEX 31% 증가,70,"1,001",-,"2,870",,,31,최종 INT 31% 증가,70,"1,001",-,"2,870",,,31,최종 LUK 31% 증가,70,"1,001",-,"2,870",,,31,최종 공격력 31% 증가,96,"1,376",-,"3,290",,,31,최종 크리티컬 데미지 31% 증가,122,"1,754",-,"3,710",,,31,이세계의 재화 2배 획득 확률 15.5% 증가,217,"3,094",-,"4,130",,,,,,,,
,32,올스텟 +32,7,119,-,"1,610",,,32,최대 레벨 32 증가,137,"1,851",-,"4,130",,,32,환생 포인트 획득량 32% 증가,53,791,-,"3,290",,,32,최종 STR 32% 증가,73,"1,071",-,"2,870",,,32,최종 DEX 32% 증가,73,"1,071",-,"2,870",,,32,최종 INT 32% 증가,73,"1,071",-,"2,870",,,32,최종 LUK 32% 증가,73,"1,071",-,"2,870",,,32,최종 공격력 32% 증가,100,"1,472",-,"3,290",,,32,최종 크리티컬 데미지 32% 증가,126,"1,876",-,"3,710",,,32,이세계의 재화 2배 획득 확률 16% 증가,225,"3,311",-,"4,130",,,,,,,,
,33,올스텟 +33,7,126,-,"1,610",,,33,최대 레벨 33 증가,139,"1,988",-,"4,130",,,33,환생 포인트 획득량 33% 증가,54,844,-,"3,290",,,33,최종 STR 33% 증가,75,"1,144",-,"2,870",,,33,최종 DEX 33% 증가,75,"1,144",-,"2,870",,,33,최종 INT 33% 증가,75,"1,144",-,"2,870",,,33,최종 LUK 33% 증가,75,"1,144",-,"2,870",,,33,최종 공격력 33% 증가,103,"1,572",-,"3,290",,,33,최종 크리티컬 데미지 33% 증가,130,"2,002",-,"3,710",,,33,이세계의 재화 2배 획득 확률 16.5% 증가,233,"3,536",-,"4,130",,,,,,,,
,34,올스텟 +34,7,133,-,"1,610",,,34,최대 레벨 34 증가,149,"2,127",-,"4,130",,,34,환생 포인트 획득량 34% 증가,56,898,-,"3,290",,,34,최종 STR 34% 증가,78,"1,219",-,"2,870",,,34,최종 DEX 34% 증가,78,"1,219",-,"2,870",,,34,최종 INT 34% 증가,78,"1,219",-,"2,870",,,34,최종 LUK 34% 증가,78,"1,219",-,"2,870",,,34,최종 공격력 34% 증가,106,"1,675",-,"3,290",,,34,최종 크리티컬 데미지 34% 증가,135,"2,132",-,"3,710",,,34,이세계의 재화 2배 획득 확률 17% 증가,241,"3,769",-,"4,130",,,,,,,,
,35,올스텟 +35,8,140,💎 270,"1,880",,,35,최대 레벨 35 증가,151,"2,276","💎 1,110","5,240",,,35,환생 포인트 획득량 35% 증가,58,954,💎 830,"4,120",,,35,최종 STR 35% 증가,81,"1,297",💎 690,"3,560",,,35,최종 DEX 35% 증가,81,"1,297",💎 690,"3,560",,,35,최종 INT 35% 증가,81,"1,297",💎 690,"3,560",,,35,최종 LUK 35% 증가,81,"1,297",💎 690,"3,560",,,35,최종 공격력 35% 증가,110,"1,781",💎 830,"4,120",,,35,최종 크리티컬 데미지 35% 증가,139,"2,267",💎 970,"4,680",,,35,이세계의 재화 2배 획득 확률 17.5% 증가,249,"4,010","💎 1,110","5,240",,,,,,,,
,36,올스텟 +36,8,148,-,"1,880",,,36,최대 레벨 36 증가,157,"2,427",-,"5,240",,,36,환생 포인트 획득량 36% 증가,60,"1,012",-,"4,120",,,36,최종 STR 36% 증가,83,"1,378",-,"3,560",,,36,최종 DEX 36% 증가,83,"1,378",-,"3,560",,,36,최종 INT 36% 증가,83,"1,378",-,"3,560",,,36,최종 LUK 36% 증가,83,"1,378",-,"3,560",,,36,최종 공격력 36% 증가,113,"1,891",-,"4,120",,,36,최종 크리티컬 데미지 36% 증가,144,"2,406",-,"4,680",,,36,이세계의 재화 2배 획득 확률 18% 증가,257,"4,259",-,"5,240",,,,,,,,
,37,올스텟 +37,8,156,-,"1,880",,,37,최대 레벨 37 증가,163,"2,584",-,"5,240",,,37,환생 포인트 획득량 37% 증가,62,"1,072",-,"4,120",,,37,최종 STR 37% 증가,86,"1,461",-,"3,560",,,37,최종 DEX 37% 증가,86,"1,461",-,"3,560",,,37,최종 INT 37% 증가,86,"1,461",-,"3,560",,,37,최종 LUK 37% 증가,86,"1,461",-,"3,560",,,37,최종 공격력 37% 증가,117,"2,004",-,"4,120",,,37,최종 크리티컬 데미지 37% 증가,148,"2,550",-,"4,680",,,37,이세계의 재화 2배 획득 확률 18.5% 증가,265,"4,516",-,"5,240",,,,,,,,
