차원의 경계,소모 조각,누적 조각,최종 데미지,최종 크리데미지
151LV,"158,803","3,331,394",11.4%,11.25%
152LV,"166,747","3,498,141",11.4%,11.4%
153LV,"175,088","3,673,229",11.55%,11.4%
154LV,"183,846","3,857,075",11.55%,11.55%
155LV,"193,042","4,050,117",11.7%,11.55%
156LV,"202,698","4,252,815",11.7%,11.7%
157LV,"212,837","4,465,652",11.85%,11.7%
158LV,"223,483","4,689,135",11.85%,11.85%
159LV,"234,662","4,923,797",12%,11.85%
160LV,"246,400","5,170,197",12%,12%
161LV,"258,725","5,428,922",12.15%,12%
162LV,"271,666","5,700,588",12.15%,12.15%
163LV,"285,255","5,985,843",12.3%,12.15%
164LV,"299,524","6,285,367",12.3%,12.3%
165LV,"314,506","6,599,873",12.45%,12.3%
166LV,"330,238","6,930,111",12.45%,12.45%
167LV,"346,757","7,276,868",12.6%,12.45%
168LV,"364,102","7,640,970",12.6%,12.6%
169LV,"382,315","8,023,285",12.75%,12.6%
170LV,"401,438","8,424,723",12.75%,12.75%
171LV,"421,519","8,846,242",12.9%,12.75%
172LV,"442,603","9,288,845",12.9%,12.9%
173LV,"464,742","9,753,587",13.05%,12.9%
174LV,"487,989","10,241,576",13.05%,13.05%
175LV,"512,399","10,753,975",13.2%,13.05%
176LV,"538,029","11,292,004",13.2%,13.2%
177LV,"564,942","11,856,946",13.35%,13.2%
178LV,"593,200","12,450,146",13.35%,13.35%
179LV,"622,873","13,073,019",13.5%,13.35%
180LV,"654,029","13,727,048",13.5%,13.5%
181LV,"686,744","14,413,792",13.65%,13.5%
182LV,"721,095","15,134,887",13.65%,13.65%
183LV,"757,165","15,892,052",13.8%,13.65%
184LV,"795,039","16,687,091",13.8%,13.8%
185LV,"834,807","17,521,898",13.95%,13.8%
186LV,"876,565","18,398,463",13.95%,13.95%
187LV,"920,411","19,318,874",14.1%,13.95%
188LV,"966,451","20,285,325",14.1%,14.1%
189LV,"1,014,793","21,300,118",14.25%,14.1%
190LV,"1,065,554","22,365,672",14.25%,14.25%
191LV,"1,118,853","23,484,525",14.4%,14.25%
192LV,"1,174,819","24,659,344",14.4%,14.4%
193LV,"1,233,584","25,892,928",14.55%,14.4%
194LV,"1,295,289","27,188,217",14.55%,14.55%
195LV,"1,360,080","28,548,297",14.7%,14.55%
196LV,"1,428,112","29,976,409",14.7%,14.7%
197LV,"1,499,547","31,475,956",14.85%,14.7%
198LV,"1,574,555","33,050,511",14.85%,14.85%
199LV,"1,653,315","34,703,826",15%,14.85%
200LV,"1,736,015","36,439,841",15%,15%
