결의의 증표,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,98,최종 공격력 98% 증가,346,"15,886",-,"21,100"
,99,최종 공격력 99% 증가,350,"16,232",-,"21,100"
,100,최종 공격력 100% 증가,354,"16,582","💎 2,000","23,100"
,101,최종 공격력 101% 증가,358,"16,936",-,"23,100"
,102,최종 공격력 102% 증가,362,"17,294",-,"23,100"
,103,최종 공격력 103% 증가,366,"17,656",-,"23,100"
,104,최종 공격력 104% 증가,370,"18,022",-,"23,100"
,105,최종 공격력 105% 증가,374,"18,392","💎 2,000","25,100"
,106,최종 공격력 106% 증가,378,"18,766",-,"25,100"
,107,최종 공격력 107% 증가,382,"19,144",-,"25,100"
,108,최종 공격력 108% 증가,386,"19,526",-,"25,100"
,109,최종 공격력 109% 증가,389,"19,912",-,"25,100"
,110,최종 공격력 110% 증가,393,"20,301","💎 2,000","27,100"
,111,최종 공격력 111% 증가,397,"20,694",-,"27,100"
,112,최종 공격력 112% 증가,401,"21,091",-,"27,100"
,113,최종 공격력 113% 증가,405,"21,492",-,"27,100"
,114,최종 공격력 114% 증가,409,"21,897",-,"27,100"
,115,최종 공격력 115% 증가,413,"22,306","💎 2,000","29,100"
,116,최종 공격력 116% 증가,417,"22,719",-,"29,100"
,117,최종 공격력 117% 증가,421,"23,136",-,"29,100"
,118,최종 공격력 118% 증가,425,"23,557",-,"29,100"
,119,최종 공격력 119% 증가,429,"23,982",-,"29,100"
,120,최종 공격력 120% 증가,433,"24,411","💎 2,000","31,100"
,121,최종 공격력 121% 증가,437,"24,844",-,"31,100"
,122,최종 공격력 122% 증가,441,"25,281",-,"31,100"
,123,최종 공격력 123% 증가,446,"25,722",-,"31,100"
,124,최종 공격력 124% 증가,450,"26,168",-,"31,100"
,125,최종 공격력 125% 증가,454,"26,618","💎 2,000","33,100"
,126,최종 공격력 126% 증가,458,"27,072",-,"33,100"
,127,최종 공격력 127% 증가,462,"27,530",-,"33,100"
,128,최종 공격력 128% 증가,466,"27,992",-,"33,100"
,129,최종 공격력 129% 증가,470,"28,458",-,"33,100"
,130,최종 공격력 130% 증가,474,"28,928","💎 2,000","35,100"
,131,최종 공격력 131% 증가,478,"29,402",-,"35,100"
,132,최종 공격력 132% 증가,482,"29,880",-,"35,100"
,133,최종 공격력 133% 증가,486,"30,362",-,"35,100"
,134,최종 공격력 134% 증가,490,"30,848",-,"35,100"
,135,최종 공격력 135% 증가,494,"31,338","💎 2,000","37,100"
,136,최종 공격력 136% 증가,498,"31,832",-,"37,100"
,137,최종 공격력 137% 증가,502,"32,330",-,"37,100"
,138,최종 공격력 138% 증가,506,"32,832",-,"37,100"
,139,최종 공격력 139% 증가,510,"33,338",-,"37,100"
,140,최종 공격력 140% 증가,514,"33,848","💎 2,000","39,100"
,141,최종 공격력 141% 증가,519,"34,362",-,"39,100"
,142,최종 공격력 142% 증가,523,"34,881",-,"39,100"
,143,최종 공격력 143% 증가,527,"35,404",-,"39,100"
,144,최종 공격력 144% 증가,531,"35,931",-,"39,100"
,145,최종 공격력 145% 증가,535,"36,462","💎 2,000","41,100"
,146,최종 공격력 146% 증가,539,"36,997",-,"41,100"
,147,최종 공격력 147% 증가,543,"37,536",-,"41,100"
,148,최종 공격력 148% 증가,547,"38,079",-,"41,100"
,149,최종 공격력 149% 증가,551,"38,626",-,"41,100"
,150,최종 공격력 150% 증가,555,"39,177","💎 2,000","43,100"
,151,최종 공격력 151% 증가,560,"39,732",-,"43,100"
,152,최종 공격력 152% 증가,564,"40,292",-,"43,100"
,153,최종 공격력 153% 증가,568,"40,856",-,"43,100"
,154,최종 공격력 154% 증가,572,"41,424",-,"43,100"
,155,최종 공격력 155% 증가,576,"41,996","💎 2,000","45,100"
,156,최종 공격력 156% 증가,580,"42,572",-,"45,100"
,157,최종 공격력 157% 증가,584,"43,152",-,"45,100"
,158,최종 공격력 158% 증가,588,"43,736",-,"45,100"
,159,최종 공격력 159% 증가,593,"44,324",-,"45,100"
,160,최종 공격력 160% 증가,597,"44,917","💎 2,000","47,100"
,161,최종 공격력 161% 증가,601,"45,514",-,"47,100"
,162,최종 공격력 162% 증가,605,"46,115",-,"47,100"
,163,최종 공격력 163% 증가,609,"46,720",-,"47,100"
,164,최종 공격력 164% 증가,613,"47,329",-,"47,100"
,165,최종 공격력 165% 증가,617,"47,942","💎 2,000","49,100"
,166,최종 공격력 166% 증가,622,"48,559",-,"49,100"
,167,최종 공격력 167% 증가,626,"49,181",-,"49,100"
,168,최종 공격력 168% 증가,630,"49,807",-,"49,100"
,169,최종 공격력 169% 증가,634,"50,437",-,"49,100"
,170,최종 공격력 170% 증가,638,"51,071","💎 2,000","51,100"
,171,최종 공격력 171% 증가,642,"51,709",-,"51,100"
,172,최종 공격력 172% 증가,647,"52,351",-,"51,100"
,173,최종 공격력 173% 증가,651,"52,998",-,"51,100"
,174,최종 공격력 174% 증가,655,"53,649",-,"51,100"
,175,최종 공격력 175% 증가,659,"54,304","💎 2,000","53,100"
,176,최종 공격력 176% 증가,663,"54,963",-,"53,100"
,177,최종 공격력 177% 증가,668,"55,626",-,"53,100"
,178,최종 공격력 178% 증가,672,"56,294",-,"53,100"
,179,최종 공격력 179% 증가,676,"56,966",-,"53,100"
,180,최종 공격력 180% 증가,680,"57,642","💎 2,000","55,100"
,181,최종 공격력 181% 증가,684,"58,322",-,"55,100"
,182,최종 공격력 182% 증가,688,"59,006",-,"55,100"
,183,최종 공격력 183% 증가,693,"59,694",-,"55,100"
,184,최종 공격력 184% 증가,697,"60,387",-,"55,100"
,185,최종 공격력 185% 증가,701,"61,084","💎 2,000","57,100"
,186,최종 공격력 186% 증가,705,"61,785",-,"57,100"
,187,최종 공격력 187% 증가,709,"62,490",-,"57,100"
,188,최종 공격력 188% 증가,714,"63,199",-,"57,100"
,189,최종 공격력 189% 증가,718,"63,913",-,"57,100"
,190,최종 공격력 190% 증가,722,"64,631","💎 2,000","59,100"
,191,최종 공격력 191% 증가,726,"65,353",-,"59,100"
,192,최종 공격력 192% 증가,731,"66,079",-,"59,100"
,193,최종 공격력 193% 증가,735,"66,810",-,"59,100"
,194,최종 공격력 194% 증가,739,"67,545",-,"59,100"
,195,최종 공격력 195% 증가,743,"68,284","💎 2,000","61,100"
,196,최종 공격력 196% 증가,747,"69,027",-,"61,100"
,197,최종 공격력 197% 증가,752,"69,774",-,"61,100"
,198,최종 공격력 198% 증가,756,"70,526",-,"61,100"
,199,최종 공격력 199% 증가,760,"71,282",-,"61,100"
,200,최종 공격력 200% 증가,764,"72,042","💎 2,000","63,100"
,201,최종 공격력 201% 증가,769,"72,806",-,"63,100"
,202,최종 공격력 202% 증가,773,"73,575",-,"63,100"
,203,최종 공격력 203% 증가,777,"74,348",-,"63,100"
,204,최종 공격력 204% 증가,781,"75,125",-,"63,100"
,205,최종 공격력 205% 증가,786,"75,906","💎 2,000","65,100"
,206,최종 공격력 206% 증가,790,"76,692",-,"65,100"
,207,최종 공격력 207% 증가,794,"77,482",-,"65,100"
,208,최종 공격력 208% 증가,798,"78,276",-,"65,100"
,209,최종 공격력 209% 증가,803,"79,074",-,"65,100"
,210,최종 공격력 210% 증가,807,"79,877","💎 2,000","67,100"
,211,최종 공격력 211% 증가,811,"80,684",-,"67,100"
,212,최종 공격력 212% 증가,815,"81,495",-,"67,100"
,213,최종 공격력 213% 증가,820,"82,310",-,"67,100"
,214,최종 공격력 214% 증가,824,"83,130",-,"67,100"
,215,최종 공격력 215% 증가,828,"83,954","💎 2,000","69,100"
,216,최종 공격력 216% 증가,832,"84,782",-,"69,100"
,217,최종 공격력 217% 증가,837,"85,614",-,"69,100"
,218,최종 공격력 218% 증가,841,"86,451",-,"69,100"
,219,최종 공격력 219% 증가,845,"87,292",-,"69,100"
,220,최종 공격력 220% 증가,850,"88,137","💎 2,000","71,100"
,221,최종 공격력 221% 증가,854,"88,987",-,"71,100"
,222,최종 공격력 222% 증가,858,"89,841",-,"71,100"
,223,최종 공격력 223% 증가,862,"90,699",-,"71,100"
,224,최종 공격력 224% 증가,867,"91,561",-,"71,100"
,225,최종 공격력 225% 증가,871,"92,428","💎 2,000","73,100"
,226,최종 공격력 226% 증가,875,"93,299",-,"73,100"
,227,최종 공격력 227% 증가,880,"94,174",-,"73,100"
,228,최종 공격력 228% 증가,884,"95,054",-,"73,100"
,229,최종 공격력 229% 증가,888,"95,938",-,"73,100"
,230,최종 공격력 230% 증가,892,"96,826","💎 2,000","75,100"
,231,최종 공격력 231% 증가,897,"97,718",-,"75,100"
,232,최종 공격력 232% 증가,901,"98,615",-,"75,100"
,233,최종 공격력 233% 증가,905,"99,516",-,"75,100"
,234,최종 공격력 234% 증가,910,"100,421",-,"75,100"
,235,최종 공격력 235% 증가,914,"101,331","💎 2,000","77,100"
,236,최종 공격력 236% 증가,918,"102,245",-,"77,100"
,237,최종 공격력 237% 증가,923,"103,163",-,"77,100"
,238,최종 공격력 238% 증가,927,"104,086",-,"77,100"
,239,최종 공격력 239% 증가,931,"105,013",-,"77,100"
,240,최종 공격력 240% 증가,935,"105,944","💎 2,000","79,100"
,241,최종 공격력 241% 증가,940,"106,879",-,"79,100"
,242,최종 공격력 242% 증가,944,"107,819",-,"79,100"
,243,최종 공격력 243% 증가,948,"108,763",-,"79,100"
,244,최종 공격력 244% 증가,953,"109,711",-,"79,100"
,245,최종 공격력 245% 증가,957,"110,664","💎 2,000","81,100"
,246,최종 공격력 246% 증가,961,"111,621",-,"81,100"
,247,최종 공격력 247% 증가,966,"112,582",-,"81,100"
,248,최종 공격력 248% 증가,970,"113,548",-,"81,100"
,249,최종 공격력 249% 증가,974,"114,518",-,"81,100"
,250,최종 공격력 250% 증가,979,"115,492","💎 2,000","83,100"
,251,최종 공격력 251% 증가,983,"116,471",-,"83,100"
,252,최종 공격력 252% 증가,987,"117,454",-,"83,100"
,253,최종 공격력 253% 증가,992,"118,441",-,"83,100"
,254,최종 공격력 254% 증가,996,"119,433",-,"83,100"
,255,최종 공격력 255% 증가,"1,000","120,429","💎 2,000","85,100"
,256,최종 공격력 256% 증가,"1,005","121,429",-,"85,100"
,257,최종 공격력 257% 증가,"1,009","122,434",-,"85,100"
,258,최종 공격력 258% 증가,"1,013","123,443",-,"85,100"
,259,최종 공격력 259% 증가,"1,018","124,456",-,"85,100"
,260,최종 공격력 260% 증가,"1,022","125,474","💎 2,000","87,100"
,261,최종 공격력 261% 증가,"1,027","126,496",-,"87,100"
,262,최종 공격력 262% 증가,"1,031","127,523",-,"87,100"
,263,최종 공격력 263% 증가,"1,035","128,554",-,"87,100"
,264,최종 공격력 264% 증가,"1,040","129,589",-,"87,100"
,265,최종 공격력 265% 증가,"1,044","130,629","💎 2,000","89,100"
,266,최종 공격력 266% 증가,"1,048","131,673",-,"89,100"
,267,최종 공격력 267% 증가,"1,053","132,721",-,"89,100"
,268,최종 공격력 268% 증가,"1,057","133,774",-,"89,100"
,269,최종 공격력 269% 증가,"1,061","134,831",-,"89,100"
,270,최종 공격력 270% 증가,"1,066","135,892","💎 2,000","91,100"
,271,최종 공격력 271% 증가,"1,070","136,958",-,"91,100"
,272,최종 공격력 272% 증가,"1,075","138,028",-,"91,100"
,273,최종 공격력 273% 증가,"1,079","139,103",-,"91,100"
,274,최종 공격력 274% 증가,"1,083","140,182",-,"91,100"
,275,최종 공격력 275% 증가,"1,088","141,265","💎 2,000","93,100"
,276,최종 공격력 276% 증가,"1,092","142,353",-,"93,100"
,277,최종 공격력 277% 증가,"1,096","143,445",-,"93,100"
,278,최종 공격력 278% 증가,"1,101","144,541",-,"93,100"
,279,최종 공격력 279% 증가,"1,105","145,642",-,"93,100"
,280,최종 공격력 280% 증가,"1,110","146,747","💎 2,000","95,100"
,281,최종 공격력 281% 증가,"1,114","147,857",-,"95,100"
,282,최종 공격력 282% 증가,"1,118","148,971",-,"95,100"
,283,최종 공격력 283% 증가,"1,123","150,089",-,"95,100"
,284,최종 공격력 284% 증가,"1,127","151,212",-,"95,100"
,285,최종 공격력 285% 증가,"1,131","152,339","💎 2,000","97,100"
,286,최종 공격력 286% 증가,"1,136","153,470",-,"97,100"
,287,최종 공격력 287% 증가,"1,140","154,606",-,"97,100"
,288,최종 공격력 288% 증가,"1,145","155,746",-,"97,100"
,289,최종 공격력 289% 증가,"1,149","156,891",-,"97,100"
,290,최종 공격력 290% 증가,"1,153","158,040","💎 2,000","99,100"
,291,최종 공격력 291% 증가,"1,158","159,193",-,"99,100"
,292,최종 공격력 292% 증가,"1,162","160,351",-,"99,100"
,293,최종 공격력 293% 증가,"1,167","161,513",-,"99,100"
,294,최종 공격력 294% 증가,"1,171","162,680",-,"99,100"
,295,최종 공격력 295% 증가,"1,175","163,851","💎 2,000","101,100"
,296,최종 공격력 296% 증가,"1,180","165,026",-,"101,100"
,297,최종 공격력 297% 증가,"1,184","166,206",-,"101,100"
,298,최종 공격력 298% 증가,"1,189","167,390",-,"101,100"
,299,최종 공격력 299% 증가,"1,193","168,579",-,"101,100"
,300,최종 공격력 300% 증가,-,"169,772",-,"101,100"
