황금 인장 반지,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,43,환생 포인트 획득량 43% 증가,71,"1,469",-,"5,040"
,44,환생 포인트 획득량 44% 증가,73,"1,542",-,"5,040"
,45,환생 포인트 획득량 45% 증가,74,"1,616","💎 1,010","6,050"
,46,환생 포인트 획득량 46% 증가,76,"1,692",-,"6,050"
,47,환생 포인트 획득량 47% 증가,78,"1,770",-,"6,050"
,48,환생 포인트 획득량 48% 증가,80,"1,850",-,"6,050"
,49,환생 포인트 획득량 49% 증가,82,"1,932",-,"6,050"
,50,환생 포인트 획득량 50% 증가,84,"2,016","💎 1,100","7,150"
,51,환생 포인트 획득량 51% 증가,86,"2,102",-,"7,150"
,52,환생 포인트 획득량 52% 증가,87,"2,189",-,"7,150"
,53,환생 포인트 획득량 53% 증가,89,"2,278",-,"7,150"
,54,환생 포인트 획득량 54% 증가,91,"2,369",-,"7,150"
,55,환생 포인트 획득량 55% 증가,93,"2,462","💎 1,190","8,340"
,56,환생 포인트 획득량 56% 증가,95,"2,557",-,"8,340"
,57,환생 포인트 획득량 57% 증가,97,"2,654",-,"8,340"
,58,환생 포인트 획득량 58% 증가,99,"2,753",-,"8,340"
,59,환생 포인트 획득량 59% 증가,100,"2,853",-,"8,340"
,60,환생 포인트 획득량 60% 증가,102,"2,955","💎 1,280","9,620"
,61,환생 포인트 획득량 61% 증가,104,"3,059",-,"9,620"
,62,환생 포인트 획득량 62% 증가,106,"3,165",-,"9,620"
,63,환생 포인트 획득량 63% 증가,108,"3,273",-,"9,620"
,64,환생 포인트 획득량 64% 증가,110,"3,383",-,"9,620"
,65,환생 포인트 획득량 65% 증가,112,"3,495","💎 1,370","10,990"
,66,환생 포인트 획득량 66% 증가,114,"3,609",-,"10,990"
,67,환생 포인트 획득량 67% 증가,116,"3,725",-,"10,990"
,68,환생 포인트 획득량 68% 증가,118,"3,843",-,"10,990"
,69,환생 포인트 획득량 69% 증가,119,"3,962",-,"10,990"
,70,환생 포인트 획득량 70% 증가,121,"4,083","💎 1,460","12,450"
,71,환생 포인트 획득량 71% 증가,123,"4,206",-,"12,450"
,72,환생 포인트 획득량 72% 증가,125,"4,331",-,"12,450"
,73,환생 포인트 획득량 73% 증가,127,"4,458",-,"12,450"
,74,환생 포인트 획득량 74% 증가,129,"4,587",-,"12,450"
,75,환생 포인트 획득량 75% 증가,131,"4,718","💎 1,550","14,000"
,76,환생 포인트 획득량 76% 증가,133,"4,851",-,"14,000"
,77,환생 포인트 획득량 77% 증가,135,"4,986",-,"14,000"
,78,환생 포인트 획득량 78% 증가,137,"5,123",-,"14,000"
,79,환생 포인트 획득량 79% 증가,139,"5,262",-,"14,000"
,80,환생 포인트 획득량 80% 증가,141,"5,403","💎 1,640","15,640"
,81,환생 포인트 획득량 81% 증가,143,"5,546",-,"15,640"
,82,환생 포인트 획득량 82% 증가,144,"5,690",-,"15,640"
,83,환생 포인트 획득량 83% 증가,146,"5,836",-,"15,640"
,84,환생 포인트 획득량 84% 증가,148,"5,984",-,"15,640"
,85,환생 포인트 획득량 85% 증가,150,"6,134","💎 1,730","17,370"
,86,환생 포인트 획득량 86% 증가,152,"6,286",-,"17,370"
,87,환생 포인트 획득량 87% 증가,154,"6,440",-,"17,370"
,88,환생 포인트 획득량 88% 증가,156,"6,596",-,"17,370"
,89,환생 포인트 획득량 89% 증가,158,"6,754",-,"17,370"
,90,환생 포인트 획득량 90% 증가,160,"6,914","💎 1,820","19,190"
,91,환생 포인트 획득량 91% 증가,162,"7,076",-,"19,190"
,92,환생 포인트 획득량 92% 증가,164,"7,240",-,"19,190"
,93,환생 포인트 획득량 93% 증가,166,"7,406",-,"19,190"
,94,환생 포인트 획득량 94% 증가,168,"7,574",-,"19,190"
,95,환생 포인트 획득량 95% 증가,170,"7,744","💎 1,910","21,100"
,96,환생 포인트 획득량 96% 증가,172,"7,916",-,"21,100"
,97,환생 포인트 획득량 97% 증가,174,"8,090",-,"21,100"
,98,환생 포인트 획득량 98% 증가,176,"8,266",-,"21,100"
,99,환생 포인트 획득량 99% 증가,178,"8,444",-,"21,100"
,100,환생 포인트 획득량 100% 증가,180,"8,624","💎 2,000","23,100"
,101,환생 포인트 획득량 101% 증가,182,"8,806",-,"23,100"
,102,환생 포인트 획득량 102% 증가,184,"8,990",-,"23,100"
,103,환생 포인트 획득량 103% 증가,186,"9,176",-,"23,100"
,104,환생 포인트 획득량 104% 증가,188,"9,364",-,"23,100"
,105,환생 포인트 획득량 105% 증가,190,"9,554","💎 2,000","25,100"
,106,환생 포인트 획득량 106% 증가,192,"9,746",-,"25,100"
,107,환생 포인트 획득량 107% 증가,194,"9,940",-,"25,100"
,108,환생 포인트 획득량 108% 증가,196,"10,136",-,"25,100"
,109,환생 포인트 획득량 109% 증가,198,"10,334",-,"25,100"
,110,환생 포인트 획득량 110% 증가,199,"10,533","💎 2,000","27,100"
,111,환생 포인트 획득량 111% 증가,201,"10,734",-,"27,100"
,112,환생 포인트 획득량 112% 증가,203,"10,937",-,"27,100"
,113,환생 포인트 획득량 113% 증가,205,"11,142",-,"27,100"
,114,환생 포인트 획득량 114% 증가,207,"11,349",-,"27,100"
,115,환생 포인트 획득량 115% 증가,209,"11,558","💎 2,000","29,100"
,116,환생 포인트 획득량 116% 증가,211,"11,769",-,"29,100"
,117,환생 포인트 획득량 117% 증가,213,"11,982",-,"29,100"
,118,환생 포인트 획득량 118% 증가,215,"12,197",-,"29,100"
,119,환생 포인트 획득량 119% 증가,217,"12,414",-,"29,100"
,120,환생 포인트 획득량 120% 증가,219,"12,633","💎 2,000","31,100"
,121,환생 포인트 획득량 121% 증가,221,"12,854",-,"31,100"
,122,환생 포인트 획득량 122% 증가,223,"13,077",-,"31,100"
,123,환생 포인트 획득량 123% 증가,225,"13,302",-,"31,100"
,124,환생 포인트 획득량 124% 증가,228,"13,530",-,"31,100"
,125,환생 포인트 획득량 125% 증가,230,"13,760","💎 2,000","33,100"
,126,환생 포인트 획득량 126% 증가,232,"13,992",-,"33,100"
,127,환생 포인트 획득량 127% 증가,234,"14,226",-,"33,100"
,128,환생 포인트 획득량 128% 증가,236,"14,462",-,"33,100"
,129,환생 포인트 획득량 129% 증가,238,"14,700",-,"33,100"
,130,환생 포인트 획득량 130% 증가,240,"14,940","💎 2,000","35,100"
,131,환생 포인트 획득량 131% 증가,242,"15,182",-,"35,100"
,132,환생 포인트 획득량 132% 증가,244,"15,426",-,"35,100"
,133,환생 포인트 획득량 133% 증가,246,"15,672",-,"35,100"
,134,환생 포인트 획득량 134% 증가,248,"15,920",-,"35,100"
,135,환생 포인트 획득량 135% 증가,250,"16,170","💎 2,000","37,100"
,136,환생 포인트 획득량 136% 증가,252,"16,422",-,"37,100"
,137,환생 포인트 획득량 137% 증가,254,"16,676",-,"37,100"
,138,환생 포인트 획득량 138% 증가,256,"16,932",-,"37,100"
,139,환생 포인트 획득량 139% 증가,258,"17,190",-,"37,100"
,140,환생 포인트 획득량 140% 증가,260,"17,450","💎 2,000","39,100"
,141,환생 포인트 획득량 141% 증가,262,"17,712",-,"39,100"
,142,환생 포인트 획득량 142% 증가,264,"17,976",-,"39,100"
,143,환생 포인트 획득량 143% 증가,266,"18,242",-,"39,100"
,144,환생 포인트 획득량 144% 증가,268,"18,510",-,"39,100"
,145,환생 포인트 획득량 145% 증가,270,"18,780","💎 2,000","41,100"
,146,환생 포인트 획득량 146% 증가,272,"19,052",-,"41,100"
,147,환생 포인트 획득량 147% 증가,274,"19,326",-,"41,100"
,148,환생 포인트 획득량 148% 증가,276,"19,602",-,"41,100"
,149,환생 포인트 획득량 149% 증가,278,"19,880",-,"41,100"
,150,환생 포인트 획득량 150% 증가,280,"20,160","💎 2,000","43,100"
,151,환생 포인트 획득량 151% 증가,282,"20,442",-,"43,100"
,152,환생 포인트 획득량 152% 증가,284,"20,726",-,"43,100"
,153,환생 포인트 획득량 153% 증가,286,"21,012",-,"43,100"
,154,환생 포인트 획득량 154% 증가,288,"21,300",-,"43,100"
,155,환생 포인트 획득량 155% 증가,290,"21,590","💎 2,000","45,100"
,156,환생 포인트 획득량 156% 증가,293,"21,883",-,"45,100"
,157,환생 포인트 획득량 157% 증가,295,"22,178",-,"45,100"
,158,환생 포인트 획득량 158% 증가,297,"22,475",-,"45,100"
,159,환생 포인트 획득량 159% 증가,299,"22,774",-,"45,100"
,160,환생 포인트 획득량 160% 증가,301,"23,075","💎 2,000","47,100"
,161,환생 포인트 획득량 161% 증가,303,"23,378",-,"47,100"
,162,환생 포인트 획득량 162% 증가,305,"23,683",-,"47,100"
,163,환생 포인트 획득량 163% 증가,307,"23,990",-,"47,100"
,164,환생 포인트 획득량 164% 증가,309,"24,299",-,"47,100"
,165,환생 포인트 획득량 165% 증가,311,"24,610","💎 2,000","49,100"
,166,환생 포인트 획득량 166% 증가,313,"24,923",-,"49,100"
,167,환생 포인트 획득량 167% 증가,315,"25,238",-,"49,100"
,168,환생 포인트 획득량 168% 증가,317,"25,555",-,"49,100"
,169,환생 포인트 획득량 169% 증가,319,"25,874",-,"49,100"
,170,환생 포인트 획득량 170% 증가,321,"26,195","💎 2,000","51,100"
,171,환생 포인트 획득량 171% 증가,323,"26,518",-,"51,100"
,172,환생 포인트 획득량 172% 증가,325,"26,843",-,"51,100"
,173,환생 포인트 획득량 173% 증가,328,"27,171",-,"51,100"
,174,환생 포인트 획득량 174% 증가,330,"27,501",-,"51,100"
,175,환생 포인트 획득량 175% 증가,332,"27,833","💎 2,000","53,100"
,176,환생 포인트 획득량 176% 증가,334,"28,167",-,"53,100"
,177,환생 포인트 획득량 177% 증가,336,"28,503",-,"53,100"
,178,환생 포인트 획득량 178% 증가,338,"28,841",-,"53,100"
,179,환생 포인트 획득량 179% 증가,340,"29,181",-,"53,100"
,180,환생 포인트 획득량 180% 증가,342,"29,523","💎 2,000","55,100"
,181,환생 포인트 획득량 181% 증가,344,"29,867",-,"55,100"
,182,환생 포인트 획득량 182% 증가,346,"30,213",-,"55,100"
,183,환생 포인트 획득량 183% 증가,348,"30,561",-,"55,100"
,184,환생 포인트 획득량 184% 증가,350,"30,911",-,"55,100"
,185,환생 포인트 획득량 185% 증가,352,"31,263","💎 2,000","57,100"
,186,환생 포인트 획득량 186% 증가,355,"31,618",-,"57,100"
,187,환생 포인트 획득량 187% 증가,357,"31,975",-,"57,100"
,188,환생 포인트 획득량 188% 증가,359,"32,334",-,"57,100"
,189,환생 포인트 획득량 189% 증가,361,"32,695",-,"57,100"
,190,환생 포인트 획득량 190% 증가,363,"33,058","💎 2,000","59,100"
,191,환생 포인트 획득량 191% 증가,365,"33,423",-,"59,100"
,192,환생 포인트 획득량 192% 증가,367,"33,790",-,"59,100"
,193,환생 포인트 획득량 193% 증가,369,"34,159",-,"59,100"
,194,환생 포인트 획득량 194% 증가,371,"34,530",-,"59,100"
,195,환생 포인트 획득량 195% 증가,373,"34,903","💎 2,000","61,100"
,196,환생 포인트 획득량 196% 증가,375,"35,278",-,"61,100"
,197,환생 포인트 획득량 197% 증가,377,"35,655",-,"61,100"
,198,환생 포인트 획득량 198% 증가,380,"36,035",-,"61,100"
,199,환생 포인트 획득량 199% 증가,382,"36,417",-,"61,100"
,200,환생 포인트 획득량 200% 증가,384,"36,801","💎 2,000","63,100"
,201,환생 포인트 획득량 201% 증가,386,"37,187",-,"63,100"
,202,환생 포인트 획득량 202% 증가,388,"37,575",-,"63,100"
,203,환생 포인트 획득량 203% 증가,390,"37,965",-,"63,100"
,204,환생 포인트 획득량 204% 증가,392,"38,357",-,"63,100"
,205,환생 포인트 획득량 205% 증가,394,"38,751","💎 2,000","65,100"
,206,환생 포인트 획득량 206% 증가,396,"39,147",-,"65,100"
,207,환생 포인트 획득량 207% 증가,398,"39,545",-,"65,100"
,208,환생 포인트 획득량 208% 증가,401,"39,946",-,"65,100"
,209,환생 포인트 획득량 209% 증가,403,"40,349",-,"65,100"
,210,환생 포인트 획득량 210% 증가,405,"40,754","💎 2,000","67,100"
,211,환생 포인트 획득량 211% 증가,407,"41,161",-,"67,100"
,212,환생 포인트 획득량 212% 증가,409,"41,570",-,"67,100"
,213,환생 포인트 획득량 213% 증가,411,"41,981",-,"67,100"
,214,환생 포인트 획득량 214% 증가,413,"42,394",-,"67,100"
,215,환생 포인트 획득량 215% 증가,415,"42,809","💎 2,000","69,100"
,216,환생 포인트 획득량 216% 증가,417,"43,226",-,"69,100"
,217,환생 포인트 획득량 217% 증가,419,"43,645",-,"69,100"
,218,환생 포인트 획득량 218% 증가,422,"44,067",-,"69,100"
,219,환생 포인트 획득량 219% 증가,424,"44,491",-,"69,100"
,220,환생 포인트 획득량 220% 증가,426,"44,917","💎 2,000","71,100"
,221,환생 포인트 획득량 221% 증가,428,"45,345",-,"71,100"
,222,환생 포인트 획득량 222% 증가,430,"45,775",-,"71,100"
,223,환생 포인트 획득량 223% 증가,432,"46,207",-,"71,100"
,224,환생 포인트 획득량 224% 증가,434,"46,641",-,"71,100"
,225,환생 포인트 획득량 225% 증가,436,"47,077","💎 2,000","73,100"
,226,환생 포인트 획득량 226% 증가,438,"47,515",-,"73,100"
,227,환생 포인트 획득량 227% 증가,441,"47,956",-,"73,100"
,228,환생 포인트 획득량 228% 증가,443,"48,399",-,"73,100"
,229,환생 포인트 획득량 229% 증가,445,"48,844",-,"73,100"
,230,환생 포인트 획득량 230% 증가,447,"49,291","💎 2,000","75,100"
,231,환생 포인트 획득량 231% 증가,449,"49,740",-,"75,100"
,232,환생 포인트 획득량 232% 증가,451,"50,191",-,"75,100"
,233,환생 포인트 획득량 233% 증가,453,"50,644",-,"75,100"
,234,환생 포인트 획득량 234% 증가,455,"51,099",-,"75,100"
,235,환생 포인트 획득량 235% 증가,458,"51,557","💎 2,000","77,100"
,236,환생 포인트 획득량 236% 증가,460,"52,017",-,"77,100"
,237,환생 포인트 획득량 237% 증가,462,"52,479",-,"77,100"
,238,환생 포인트 획득량 238% 증가,464,"52,943",-,"77,100"
,239,환생 포인트 획득량 239% 증가,466,"53,409",-,"77,100"
,240,환생 포인트 획득량 240% 증가,468,"53,877","💎 2,000","79,100"
,241,환생 포인트 획득량 241% 증가,470,"54,347",-,"79,100"
,242,환생 포인트 획득량 242% 증가,472,"54,819",-,"79,100"
,243,환생 포인트 획득량 243% 증가,475,"55,294",-,"79,100"
,244,환생 포인트 획득량 244% 증가,477,"55,771",-,"79,100"
,245,환생 포인트 획득량 245% 증가,479,"56,250","💎 2,000","81,100"
,246,환생 포인트 획득량 246% 증가,481,"56,731",-,"81,100"
,247,환생 포인트 획득량 247% 증가,483,"57,214",-,"81,100"
,248,환생 포인트 획득량 248% 증가,485,"57,699",-,"81,100"
,249,환생 포인트 획득량 249% 증가,487,"58,186",-,"81,100"
,250,환생 포인트 획득량 250% 증가,489,"58,675","💎 2,000","83,100"
,251,환생 포인트 획득량 251% 증가,492,"59,167",-,"83,100"
,252,환생 포인트 획득량 252% 증가,494,"59,661",-,"83,100"
,253,환생 포인트 획득량 253% 증가,496,"60,157",-,"83,100"
,254,환생 포인트 획득량 254% 증가,498,"60,655",-,"83,100"
,255,환생 포인트 획득량 255% 증가,500,"61,155","💎 2,000","85,100"
,256,환생 포인트 획득량 256% 증가,502,"61,657",-,"85,100"
,257,환생 포인트 획득량 257% 증가,504,"62,161",-,"85,100"
,258,환생 포인트 획득량 258% 증가,507,"62,668",-,"85,100"
,259,환생 포인트 획득량 259% 증가,509,"63,177",-,"85,100"
,260,환생 포인트 획득량 260% 증가,511,"63,688","💎 2,000","87,100"
,261,환생 포인트 획득량 261% 증가,513,"64,201",-,"87,100"
,262,환생 포인트 획득량 262% 증가,515,"64,716",-,"87,100"
,263,환생 포인트 획득량 263% 증가,517,"65,233",-,"87,100"
,264,환생 포인트 획득량 264% 증가,519,"65,752",-,"87,100"
,265,환생 포인트 획득량 265% 증가,522,"66,274","💎 2,000","89,100"
,266,환생 포인트 획득량 266% 증가,524,"66,798",-,"89,100"
,267,환생 포인트 획득량 267% 증가,526,"67,324",-,"89,100"
,268,환생 포인트 획득량 268% 증가,528,"67,852",-,"89,100"
,269,환생 포인트 획득량 269% 증가,530,"68,382",-,"89,100"
,270,환생 포인트 획득량 270% 증가,532,"68,914","💎 2,000","91,100"
,271,환생 포인트 획득량 271% 증가,534,"69,448",-,"91,100"
,272,환생 포인트 획득량 272% 증가,537,"69,985",-,"91,100"
,273,환생 포인트 획득량 273% 증가,539,"70,524",-,"91,100"
,274,환생 포인트 획득량 274% 증가,541,"71,065",-,"91,100"
,275,환생 포인트 획득량 275% 증가,543,"71,608","💎 2,000","93,100"
,276,환생 포인트 획득량 276% 증가,545,"72,153",-,"93,100"
,277,환생 포인트 획득량 277% 증가,547,"72,700",-,"93,100"
,278,환생 포인트 획득량 278% 증가,549,"73,249",-,"93,100"
,279,환생 포인트 획득량 279% 증가,552,"73,801",-,"93,100"
,280,환생 포인트 획득량 280% 증가,554,"74,355","💎 2,000","95,100"
,281,환생 포인트 획득량 281% 증가,556,"74,911",-,"95,100"
,282,환생 포인트 획득량 282% 증가,558,"75,469",-,"95,100"
,283,환생 포인트 획득량 283% 증가,560,"76,029",-,"95,100"
,284,환생 포인트 획득량 284% 증가,562,"76,591",-,"95,100"
,285,환생 포인트 획득량 285% 증가,565,"77,156","💎 2,000","97,100"
,286,환생 포인트 획득량 286% 증가,567,"77,723",-,"97,100"
,287,환생 포인트 획득량 287% 증가,569,"78,292",-,"97,100"
,288,환생 포인트 획득량 288% 증가,571,"78,863",-,"97,100"
,289,환생 포인트 획득량 289% 증가,573,"79,436",-,"97,100"
,290,환생 포인트 획득량 290% 증가,575,"80,011","💎 2,000","99,100"
,291,환생 포인트 획득량 291% 증가,577,"80,588",-,"99,100"
,292,환생 포인트 획득량 292% 증가,580,"81,168",-,"99,100"
,293,환생 포인트 획득량 293% 증가,582,"81,750",-,"99,100"
,294,환생 포인트 획득량 294% 증가,584,"82,334",-,"99,100"
,295,환생 포인트 획득량 295% 증가,586,"82,920","💎 2,000","101,100"
,296,환생 포인트 획득량 296% 증가,588,"83,508",-,"101,100"
,297,환생 포인트 획득량 297% 증가,590,"84,098",-,"101,100"
,298,환생 포인트 획득량 298% 증가,593,"84,691",-,"101,100"
,299,환생 포인트 획득량 299% 증가,595,"85,286",-,"101,100"
,300,환생 포인트 획득량 300% 증가,597,"85,883",-,"101,100"
