시간의 모래시계,레벨,효과,다음 레벨 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,32,레벨업 필요 EXP 320% 증가 환생 시 RP 획득량 320% 증가 (시간 대비 RP 효율 동일),"10,254","61,350",,683
,33,레벨업 필요 EXP 330% 증가 환생 시 RP 획득량 330% 증가 (시간 대비 RP 효율 동일),"12,305","73,655",,683
,34,레벨업 필요 EXP 340% 증가 환생 시 RP 획득량 340% 증가 (시간 대비 RP 효율 동일),"14,766","88,421",,683
,35,레벨업 필요 EXP 350% 증가 환생 시 RP 획득량 350% 증가 (시간 대비 RP 효율 동일),"17,719","106,140",,683
,36,레벨업 필요 EXP 360% 증가 환생 시 RP 획득량 360% 증가 (시간 대비 RP 효율 동일),"21,263","127,403",,683
,37,레벨업 필요 EXP 370% 증가 환생 시 RP 획득량 370% 증가 (시간 대비 RP 효율 동일),"25,516","152,919",,683
,38,레벨업 필요 EXP 380% 증가 환생 시 RP 획득량 380% 증가 (시간 대비 RP 효율 동일),"30,619","183,538",,683
,39,레벨업 필요 EXP 390% 증가 환생 시 RP 획득량 390% 증가 (시간 대비 RP 효율 동일),"36,743","220,281",,683
,40,레벨업 필요 EXP 400% 증가 환생 시 RP 획득량 400% 증가 (시간 대비 RP 효율 동일),"44,091","264,372",,683
,41,레벨업 필요 EXP 410% 증가 환생 시 RP 획득량 410% 증가 (시간 대비 RP 효율 동일),"52,909","317,281",,683
,42,레벨업 필요 EXP 420% 증가 환생 시 RP 획득량 420% 증가 (시간 대비 RP 효율 동일),"63,491","380,772",,683
,43,레벨업 필요 EXP 430% 증가 환생 시 RP 획득량 430% 증가 (시간 대비 RP 효율 동일),"76,189","456,961",,683
,44,레벨업 필요 EXP 440% 증가 환생 시 RP 획득량 440% 증가 (시간 대비 RP 효율 동일),"91,427","548,388",,683
,45,레벨업 필요 EXP 450% 증가 환생 시 RP 획득량 450% 증가 (시간 대비 RP 효율 동일),"109,712","658,100",,683
,46,레벨업 필요 EXP 460% 증가 환생 시 RP 획득량 460% 증가 (시간 대비 RP 효율 동일),"131,654","789,754",,683
,47,레벨업 필요 EXP 470% 증가 환생 시 RP 획득량 470% 증가 (시간 대비 RP 효율 동일),"157,985","947,739",,683
,48,레벨업 필요 EXP 480% 증가 환생 시 RP 획득량 480% 증가 (시간 대비 RP 효율 동일),"189,582","1,137,321",,683
,49,레벨업 필요 EXP 490% 증가 환생 시 RP 획득량 490% 증가 (시간 대비 RP 효율 동일),"227,499","1,364,820",,683
,50,레벨업 필요 EXP 500% 증가 환생 시 RP 획득량 500% 증가 (시간 대비 RP 효율 동일),"272,999","1,637,819",,683
