세가지 보석,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,281,올스텟 +281,57,"8,037",-,"27,360"
,282,올스텟 +282,57,"8,094",-,"27,360"
,283,올스텟 +283,57,"8,151",-,"27,360"
,284,올스텟 +284,57,"8,208",-,"27,360"
,285,올스텟 +285,57,"8,265",💎 770,"28,130"
,286,올스텟 +286,58,"8,323",-,"28,130"
,287,올스텟 +287,58,"8,381",-,"28,130"
,288,올스텟 +288,58,"8,439",-,"28,130"
,289,올스텟 +289,58,"8,497",-,"28,130"
,290,올스텟 +290,58,"8,555",💎 780,"28,910"
,291,올스텟 +291,59,"8,614",-,"28,910"
,292,올스텟 +292,59,"8,673",-,"28,910"
,293,올스텟 +293,59,"8,732",-,"28,910"
,294,올스텟 +294,59,"8,791",-,"28,910"
,295,올스텟 +295,59,"8,850",💎 790,"29,700"
,296,올스텟 +296,60,"8,910",-,"29,700"
,297,올스텟 +297,60,"8,970",-,"29,700"
,298,올스텟 +298,60,"9,030",-,"29,700"
,299,올스텟 +299,60,"9,090",-,"29,700"
,300,올스텟 +300,60,"9,150",-,"29,700"
