결의의 증표,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,182,최종 공격력 182% 증가,684,"59,006",-,"55,100"
,183,최종 공격력 183% 증가,688,"59,694",-,"55,100"
,184,최종 공격력 184% 증가,693,"60,387",-,"55,100"
,185,최종 공격력 185% 증가,697,"61,084","💎 2,000","57,100"
,186,최종 공격력 186% 증가,701,"61,785",-,"57,100"
,187,최종 공격력 187% 증가,705,"62,490",-,"57,100"
,188,최종 공격력 188% 증가,709,"63,199",-,"57,100"
,189,최종 공격력 189% 증가,714,"63,913",-,"57,100"
,190,최종 공격력 190% 증가,718,"64,631","💎 2,000","59,100"
,191,최종 공격력 191% 증가,722,"65,353",-,"59,100"
,192,최종 공격력 192% 증가,726,"66,079",-,"59,100"
,193,최종 공격력 193% 증가,731,"66,810",-,"59,100"
,194,최종 공격력 194% 증가,735,"67,545",-,"59,100"
,195,최종 공격력 195% 증가,739,"68,284","💎 2,000","61,100"
,196,최종 공격력 196% 증가,743,"69,027",-,"61,100"
,197,최종 공격력 197% 증가,747,"69,774",-,"61,100"
,198,최종 공격력 198% 증가,752,"70,526",-,"61,100"
,199,최종 공격력 199% 증가,756,"71,282",-,"61,100"
,200,최종 공격력 200% 증가,760,"72,042","💎 2,000","63,100"
,201,최종 공격력 201% 증가,764,"72,806",-,"63,100"
,202,최종 공격력 202% 증가,769,"73,575",-,"63,100"
,203,최종 공격력 203% 증가,773,"74,348",-,"63,100"
,204,최종 공격력 204% 증가,777,"75,125",-,"63,100"
,205,최종 공격력 205% 증가,781,"75,906","💎 2,000","65,100"
,206,최종 공격력 206% 증가,786,"76,692",-,"65,100"
,207,최종 공격력 207% 증가,790,"77,482",-,"65,100"
,208,최종 공격력 208% 증가,794,"78,276",-,"65,100"
,209,최종 공격력 209% 증가,798,"79,074",-,"65,100"
,210,최종 공격력 210% 증가,803,"79,877","💎 2,000","67,100"
,211,최종 공격력 211% 증가,807,"80,684",-,"67,100"
,212,최종 공격력 212% 증가,811,"81,495",-,"67,100"
,213,최종 공격력 213% 증가,815,"82,310",-,"67,100"
,214,최종 공격력 214% 증가,820,"83,130",-,"67,100"
,215,최종 공격력 215% 증가,824,"83,954","💎 2,000","69,100"
,216,최종 공격력 216% 증가,828,"84,782",-,"69,100"
,217,최종 공격력 217% 증가,832,"85,614",-,"69,100"
,218,최종 공격력 218% 증가,837,"86,451",-,"69,100"
,219,최종 공격력 219% 증가,841,"87,292",-,"69,100"
,220,최종 공격력 220% 증가,845,"88,137","💎 2,000","71,100"
,221,최종 공격력 221% 증가,850,"88,987",-,"71,100"
,222,최종 공격력 222% 증가,854,"89,841",-,"71,100"
,223,최종 공격력 223% 증가,858,"90,699",-,"71,100"
,224,최종 공격력 224% 증가,862,"91,561",-,"71,100"
,225,최종 공격력 225% 증가,867,"92,428","💎 2,000","73,100"
,226,최종 공격력 226% 증가,871,"93,299",-,"73,100"
,227,최종 공격력 227% 증가,875,"94,174",-,"73,100"
,228,최종 공격력 228% 증가,880,"95,054",-,"73,100"
,229,최종 공격력 229% 증가,884,"95,938",-,"73,100"
,230,최종 공격력 230% 증가,888,"96,826","💎 2,000","75,100"
,231,최종 공격력 231% 증가,892,"97,718",-,"75,100"
,232,최종 공격력 232% 증가,897,"98,615",-,"75,100"
,233,최종 공격력 233% 증가,901,"99,516",-,"75,100"
,234,최종 공격력 234% 증가,905,"100,421",-,"75,100"
,235,최종 공격력 235% 증가,910,"101,331","💎 2,000","77,100"
,236,최종 공격력 236% 증가,914,"102,245",-,"77,100"
,237,최종 공격력 237% 증가,918,"103,163",-,"77,100"
,238,최종 공격력 238% 증가,923,"104,086",-,"77,100"
,239,최종 공격력 239% 증가,927,"105,013",-,"77,100"
,240,최종 공격력 240% 증가,931,"105,944","💎 2,000","79,100"
,241,최종 공격력 241% 증가,935,"106,879",-,"79,100"
,242,최종 공격력 242% 증가,940,"107,819",-,"79,100"
,243,최종 공격력 243% 증가,944,"108,763",-,"79,100"
,244,최종 공격력 244% 증가,948,"109,711",-,"79,100"
,245,최종 공격력 245% 증가,953,"110,664","💎 2,000","81,100"
,246,최종 공격력 246% 증가,957,"111,621",-,"81,100"
,247,최종 공격력 247% 증가,961,"112,582",-,"81,100"
,248,최종 공격력 248% 증가,966,"113,548",-,"81,100"
,249,최종 공격력 249% 증가,970,"114,518",-,"81,100"
,250,최종 공격력 250% 증가,974,"115,492","💎 2,000","83,100"
,251,최종 공격력 251% 증가,979,"116,471",-,"83,100"
,252,최종 공격력 252% 증가,983,"117,454",-,"83,100"
,253,최종 공격력 253% 증가,987,"118,441",-,"83,100"
,254,최종 공격력 254% 증가,992,"119,433",-,"83,100"
,255,최종 공격력 255% 증가,996,"120,429","💎 2,000","85,100"
,256,최종 공격력 256% 증가,"1,000","121,429",-,"85,100"
,257,최종 공격력 257% 증가,"1,005","122,434",-,"85,100"
,258,최종 공격력 258% 증가,"1,009","123,443",-,"85,100"
,259,최종 공격력 259% 증가,"1,013","124,456",-,"85,100"
,260,최종 공격력 260% 증가,"1,018","125,474","💎 2,000","87,100"
,261,최종 공격력 261% 증가,"1,022","126,496",-,"87,100"
,262,최종 공격력 262% 증가,"1,027","127,523",-,"87,100"
,263,최종 공격력 263% 증가,"1,031","128,554",-,"87,100"
,264,최종 공격력 264% 증가,"1,035","129,589",-,"87,100"
,265,최종 공격력 265% 증가,"1,040","130,629","💎 2,000","89,100"
,266,최종 공격력 266% 증가,"1,044","131,673",-,"89,100"
,267,최종 공격력 267% 증가,"1,048","132,721",-,"89,100"
,268,최종 공격력 268% 증가,"1,053","133,774",-,"89,100"
,269,최종 공격력 269% 증가,"1,057","134,831",-,"89,100"
,270,최종 공격력 270% 증가,"1,061","135,892","💎 2,000","91,100"
,271,최종 공격력 271% 증가,"1,066","136,958",-,"91,100"
,272,최종 공격력 272% 증가,"1,070","138,028",-,"91,100"
,273,최종 공격력 273% 증가,"1,075","139,103",-,"91,100"
,274,최종 공격력 274% 증가,"1,079","140,182",-,"91,100"
,275,최종 공격력 275% 증가,"1,083","141,265","💎 2,000","93,100"
,276,최종 공격력 276% 증가,"1,088","142,353",-,"93,100"
,277,최종 공격력 277% 증가,"1,092","143,445",-,"93,100"
,278,최종 공격력 278% 증가,"1,096","144,541",-,"93,100"
,279,최종 공격력 279% 증가,"1,101","145,642",-,"93,100"
,280,최종 공격력 280% 증가,"1,105","146,747","💎 2,000","95,100"
,281,최종 공격력 281% 증가,"1,110","147,857",-,"95,100"
,282,최종 공격력 282% 증가,"1,114","148,971",-,"95,100"
,283,최종 공격력 283% 증가,"1,118","150,089",-,"95,100"
,284,최종 공격력 284% 증가,"1,123","151,212",-,"95,100"
,285,최종 공격력 285% 증가,"1,127","152,339","💎 2,000","97,100"
,286,최종 공격력 286% 증가,"1,131","153,470",-,"97,100"
,287,최종 공격력 287% 증가,"1,136","154,606",-,"97,100"
,288,최종 공격력 288% 증가,"1,140","155,746",-,"97,100"
,289,최종 공격력 289% 증가,"1,145","156,891",-,"97,100"
,290,최종 공격력 290% 증가,"1,149","158,040","💎 2,000","99,100"
,291,최종 공격력 291% 증가,"1,153","159,193",-,"99,100"
,292,최종 공격력 292% 증가,"1,158","160,351",-,"99,100"
,293,최종 공격력 293% 증가,"1,162","161,513",-,"99,100"
,294,최종 공격력 294% 증가,"1,167","162,680",-,"99,100"
,295,최종 공격력 295% 증가,"1,171","163,851","💎 2,000","101,100"
,296,최종 공격력 296% 증가,"1,175","165,026",-,"101,100"
,297,최종 공격력 297% 증가,"1,180","166,206",-,"101,100"
,298,최종 공격력 298% 증가,"1,184","167,390",-,"101,100"
,299,최종 공격력 299% 증가,"1,189","168,579",-,"101,100"
,300,최종 공격력 300% 증가,"1,193","169,772",-,"101,100"
